window_id,joint,start_time_sec,end_time_sec,center_time_sec,phase,mean_effort,range_effort,centered_effort_energy,energy_label
0,joint6,0.0,3.814279556274414,1.907210683822632,home,-1.970540506590624e-05,0.0,0.0,low_energy
1,joint6,1.0037376880645752,4.818177700042725,2.9110469698905943,gripper_opening,-1.970540506590624e-05,0.0,0.0,low_energy
2,joint6,2.0077383518218994,5.821768760681152,3.914820599555969,gripper_opening,-1.970540506590624e-05,0.0,0.0,low_energy
3,joint6,3.011448383331299,6.826139211654663,4.918671941757202,gripper_opening,0.00017424161924281,0.0015231315210257061,3.564928183652987e-06,medium_energy
4,joint6,4.015353679656982,7.8294689655303955,5.9225056052207945,gripper_opening,0.0009386832532072516,0.004060563182065306,3.525570329379111e-05,high_energy
5,joint6,5.0190582275390625,8.833118200302124,6.926221573352814,pick,0.002306814350049503,0.006379135900715406,9.722483264391787e-05,high_energy
6,joint6,6.023050785064697,9.836637496948242,7.929917395114899,pick,0.0042048247784805,0.008347809796759906,0.0001382327874512694,high_energy
7,joint6,7.026851415634155,10.840180397033691,8.933436191082,pick,0.006337694195099131,0.0078371418640017,0.00011651456154025345,high_energy
8,joint6,8.030174255371094,11.844084978103638,9.937008881568909,pick,0.008203661860898092,0.0063311113044619,7.69429188211285e-05,high_energy
9,joint6,9.033764123916626,12.847810983657837,10.940660834312439,pick,0.009628144931048112,0.0044788080267608,3.989137886255289e-05,high_energy
10,joint6,10.037278413772583,13.851253509521484,11.944334721565246,pick,0.010550767509266692,0.0025847097858787,1.3604216204562189e-05,medium_energy
11,joint6,11.04088830947876,14.855122089385986,12.948082756996154,pick,0.011044584074988923,0.001162366941571201,2.4132802173078837e-06,medium_energy
12,joint6,12.044848918914795,15.858628511428833,13.951774275302887,pick,0.011234807781875097,0.0002771662548183996,9.782721447669752e-08,medium_energy
13,joint6,13.04846477508545,16.862205505371094,14.955397725105286,pick,0.011262826621532402,0.0,6.018531076210112e-35,low_energy
14,joint6,14.051923751831055,17.86586356163025,15.959033977985381,gripper_closing,0.011265700031071862,5.7468190789200166e-05,3.1374633049547154e-09,low_energy
15,joint6,15.05584168434143,18.869518756866455,16.962624323368072,gripper_closing,0.011282733501866416,7.04182311891989e-05,1.8618980586939093e-08,low_energy
16,joint6,16.05931830406189,19.873356819152832,17.966276943683624,lift,0.01129378736950453,7.04182311891989e-05,1.9078157365136876e-08,low_energy
17,joint6,17.06303381919861,20.87700128555298,18.96997447013855,lift,0.011144668748602236,0.0031528808176516984,9.263336115812052e-06,medium_energy
18,joint6,18.066617488861084,21.88074803352356,19.97370454072952,lift,0.011150675266981085,0.0031528808176516984,9.295612517762339e-06,medium_energy
19,joint6,19.070276260375977,22.88437843322754,20.977418029308318,place,0.011133641796186533,0.003148160874843599,9.190154596996365e-06,medium_energy
20,joint6,20.074138641357422,23.88780951499939,21.98107154369354,place,0.011122587928548418,0.0031295614317058996,9.118886301406681e-06,medium_energy
21,joint6,21.077982664108276,24.89111089706421,22.98462780714035,gripper_opening,0.011272722622379617,4.70988452434002e-05,6.3662077725273654e-09,low_energy
22,joint6,22.081480264663696,25.895004749298096,23.988180708885192,gripper_opening,0.011270641256123735,2.9862858355000216e-05,2.9207809415811698e-09,low_energy
23,joint6,23.08501386642456,26.898377895355225,24.99171471595764,retract,0.011273490963503663,2.9862858355000216e-05,2.570582621542936e-09,low_energy
24,joint6,24.08846950531006,27.90220808982849,25.995257830619813,retract,0.011256569949909982,0.00032613985240460136,9.535732797564922e-08,medium_energy
25,joint6,25.09225034713745,28.906320810317993,26.998970258235932,retract,0.011109475791454246,0.0011528432369232004,1.9246008846368735e-06,medium_energy
26,joint6,26.095709562301636,29.909756660461426,28.002674674987794,return_home,0.010495291487313738,0.003468874376267201,2.2528711698106764e-05,high_energy
27,joint6,27.09904980659485,30.913331747055054,29.006392228603364,return_home,0.009145616949535851,0.006785789504647201,9.438261498012301e-05,high_energy
28,joint6,28.102826356887817,31.916902542114258,30.010113692283632,return_home,0.006891745093162131,0.0105040097259916,0.00022050817948308026,high_energy
29,joint6,29.10698413848877,32.92052412033081,31.013727355003358,return_home,0.004217190172039384,0.009787459408471406,0.0002439938359826096,high_energy
