segment_id,joint,signal,start_time_sec,end_time_sec,duration_sec,phase,label,slope,intercept,start_value,end_value,mean_value
0,joint2,velocity,0.0,2.809894323348999,2.809894323348999,home,constant,0.0,0.0,0.0,0.0,0.0
1,joint2,velocity,3.0106160640716553,5.820791006088257,2.8101749420166016,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
2,joint2,velocity,6.0216100215911865,6.8245463371276855,0.802936315536499,pick,ramp_up,0.18464018277531638,-0.97317378108309,0.0645462721586227,0.2498544454574585,0.21279281079769136
3,joint2,velocity,7.02538275718689,11.842972040176392,4.817589282989502,pick,constant,0.0,0.2498544454574585,0.2498544454574585,0.2498544454574585,0.2498544454574585
4,joint2,velocity,12.043609857559204,12.846238374710083,0.8026285171508789,pick,ramp_down,-0.37355021331626526,4.7987234229719,0.2498544454574585,0.0,0.1499126672744751
5,joint2,velocity,13.047067165374756,15.857414722442627,2.810347557067871,pick,constant,0.0,0.0,0.0,0.0,0.0
6,joint2,velocity,16.058157920837402,16.861101865768433,0.8029439449310303,gripper_closing,constant,0.0,0.0,0.0,0.0,0.0
7,joint2,velocity,17.061856269836426,17.86523413658142,0.8033778667449951,gripper_closing,ramp_down,-0.2087460245179991,3.589547649136849,0.0,-0.1397448033094406,-0.055897921323776245
8,joint2,velocity,18.06588315963745,18.869083642959595,0.8032004833221436,lift,constant,-4.287515397032498e-18,-0.1397448033094405,-0.1397448033094406,-0.1397448033094406,-0.1397448033094406
9,joint2,velocity,19.06973123550415,19.872496604919434,0.8027653694152832,lift,ramp_up,0.2088248378492929,-4.121924378179323,-0.1397448033094406,0.0,-0.05586967170238495
10,joint2,velocity,20.07358193397522,20.876506090164185,0.8029241561889648,place,ramp_up,0.5223600991133068,-10.485654013697935,0.0,0.3495062291622162,0.2097037374973297
11,joint2,velocity,21.077279090881348,21.880254983901978,0.8029758930206299,place,ramp_down,-0.5223041017957891,11.428157478810958,0.3495062291622162,0.0,0.2097037374973297
12,joint2,velocity,22.080994606018066,22.88396954536438,0.8029749393463135,place,constant,0.0,0.0,0.0,0.0,0.0
13,joint2,velocity,23.084717512130737,23.88765811920166,0.8029406070709229,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
14,joint2,velocity,24.088404417037964,24.891262531280518,0.8028581142425537,gripper_opening,ramp_down,-0.5215875297904721,12.634026068347122,0.0,-0.3489734828472137,-0.13958939313888546
15,joint2,velocity,25.091941118240356,25.894752740859985,0.8028116226196289,retract,constant,-1.207666383780394e-16,-0.3489734828472104,-0.3489734828472137,-0.3489734828472137,-0.3489734828472137
16,joint2,velocity,26.09540581703186,26.898268938064575,0.8028631210327148,retract,ramp_up,0.3476830638495771,-9.282290595205177,-0.3489734828472137,0.0,-0.06979469656944273
17,joint2,velocity,27.099015474319458,27.90214729309082,0.8031318187713623,return_home,ramp_down,-0.2766027540736423,7.398731869862436,0.0,-0.2658982574939728,-0.20801540911197663
18,joint2,velocity,28.102842092514038,30.91273546218872,2.8098933696746826,return_home,constant,0.0,-0.2658982574939728,-0.2658982574939728,-0.2658982574939728,-0.2658982574939728
19,joint2,velocity,31.113445043563843,31.91637659072876,0.802931547164917,return_home,ramp_up,0.26493463404013146,-8.562101714433403,-0.2658982574939728,0.0,-0.21271860599517822
