segment_id,joint,start_time_sec,end_time_sec,duration_sec,phase,label,slope,intercept,start_velocity,end_velocity,mean_velocity
0,joint5,0.0,0.8028292655944824,0.8028292655944824,home,constant,0.0,0.0,0.0,0.0,0.0
1,joint5,1.0036022663116455,3.8138532638549805,2.810250997543335,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
2,joint5,4.014695167541504,4.818300247192383,0.8036050796508789,gripper_opening,ramp_down,-0.5120593227083569,2.125571610080757,0.0,-0.3491486608982086,-0.13596653938293457
3,joint5,5.019008159637451,10.84151554107666,5.822507381439209,pick,constant,0.0,-0.3491486608982086,-0.3491486608982086,-0.3491486608982086,-0.3491486608982086
4,joint5,11.042643070220947,11.845470905303955,0.8028278350830078,pick,ramp_up,0.28275393261084886,-3.292605342000806,-0.2837679386138916,0.0,-0.05675358772277832
5,joint5,12.046056985855103,13.852810144424438,1.806753158569336,pick,constant,0.0,0.0,0.0,0.0,0.0
6,joint5,14.053515911102295,15.86088490486145,1.8073689937591553,gripper_closing,constant,0.0,0.0,0.0,0.0,0.0
7,joint5,16.061643600463867,16.8644118309021,0.8027682304382324,lift,constant,5.1424784564028194e-17,0.34936195611953635,0.3493619561195373,0.3493619561195373,0.3493619561195373
8,joint5,17.065078258514404,18.87202286720276,1.8069446086883545,lift,ramp_down,-0.3783581831076512,6.806073960600927,0.3493619561195373,-0.3343103229999542,0.007525816559791537
9,joint5,19.072688817977905,20.880038499832153,1.807349681854248,place,constant,0.18497268478613887,-3.862236779751897,-0.3343103229999542,0.0,-0.1671551614999771
10,joint5,21.080796718597412,22.888570308685303,1.8077735900878906,gripper_opening,constant,0.004375760276956259,-0.09224451288782842,0.0,0.0079103838652372,0.0039551919326186
11,joint5,23.089298725128174,23.892433881759644,0.8031351566314697,retract,constant,-4.908695669284778e-17,0.2726355195045482,0.2726355195045471,0.2726355195045471,0.2726355195045471
12,joint5,24.093153953552246,24.896263599395752,0.8031096458435059,retract,ramp_down,-0.4073787342948695,10.137356897447091,0.2726355195045471,0.0,0.15873730480670928
13,joint5,25.097034215927124,25.89993953704834,0.8029053211212158,retract,ramp_up,0.5218440763778645,-13.166573742887312,0.0,0.3491824865341186,0.13967299461364743
14,joint5,26.10139799118042,27.90861749649048,1.8072195053100586,return_home,constant,0.0,0.3491824865341186,0.3491824865341186,0.3491824865341186,0.3491824865341186
