phase,start_time_ns,end_time_ns
home,1785502006707241037,1785502007760242054
gripper_opening,1785502007760271329,1785502011250216778
pick,1785502011250279526,1785502020814258647
gripper_closing,1785502020814307866,1785502022782195750
lift,1785502022782210934,1785502025652199342
place,1785502025652226181,1785502027915746998
gripper_opening,1785502027915768966,1785502029678234516
retract,1785502029678260193,1785502032395226046
return_home,1785502032395256053,1785502038088206437
