phase,start_time_ns,end_time_ns
home,1788527953731639623,1788527954783613854
gripper_opening,1788527954783648299,1788527958272326967
pick,1788527958272354289,1788527967226596170
gripper_closing,1788527967226615196,1788527969089964581
lift,1788527969089995119,1788527971303452777
place,1788527971303482553,1788527974322975725
gripper_opening,1788527974322995623,1788527976187115314
retract,1788527976187144910,1788527979660606839
return_home,1788527979660637166,1788527985351611910
