joint,bag_time_ns,bag_time_sec,header_stamp_sec,position,velocity,effort,phase
joint5,1785501242341671126,1785501242.3416712,1785501242.3413968,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785501242542271474,1785501242.5422716,1785501242.5421169,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785501242742905668,1785501242.7429056,1785501242.7428124,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785501242943608054,1785501242.9436083,1785501242.9434855,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785501243144342873,1785501243.144343,1785501243.144184,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785501243345033085,1785501243.3450332,1785501243.3448892,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785501243545723118,1785501243.5457232,1785501243.5455885,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785501243746520679,1785501243.7465208,1785501243.7463531,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785501243947167317,1785501243.9471674,1785501243.9470594,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785501244147875615,1785501244.1478758,1785501244.1477356,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785501244348558344,1785501244.3485584,1785501244.3484364,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785501244549300017,1785501244.5493002,1785501244.5491571,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785501244750166212,1785501244.7501664,1785501244.7499511,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785501244951017137,1785501244.9510174,1785501244.9508,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785501245151738531,1785501245.1517386,1785501245.1515388,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785501245352515553,1785501245.3525157,1785501245.3523395,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785501245553302183,1785501245.5533023,1785501245.5531125,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785501245754161024,1785501245.7541614,1785501245.753903,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785501245954824396,1785501245.9548244,1785501245.9546351,0.8237050175666809,-0.3491486608982086,-1.6589051485061646,pick
joint5,1785501246155495413,1785501246.1554956,1785501246.1552937,0.7524786591529846,-0.3491486608982086,-1.506317973136902,pick
joint5,1785501246356208251,1785501246.3562083,1785501246.3560262,0.6826489567756653,-0.3491486608982086,-1.5741344690322876,pick
joint5,1785501246556955926,1785501246.556956,1785501246.5567515,0.612819254398346,-0.3491486608982086,-1.6249969005584717,pick
joint5,1785501246757625100,1785501246.757625,1785501246.7575078,0.5429894924163818,-0.3491486608982086,-1.794538140296936,pick
joint5,1785501246958441779,1785501246.9584415,1785501246.9582562,0.4731597602367401,-0.3491486608982086,-1.7775839567184448,pick
joint5,1785501247159223902,1785501247.159224,1785501247.1590235,0.4019334316253662,-0.3491486608982086,-2.014941692352295,pick
joint5,1785501247359952762,1785501247.3599527,1785501247.3597462,0.3321036994457245,-0.3491486608982086,-1.981033444404602,pick
joint5,1785501247560677934,1785501247.560678,1785501247.5605118,0.2622739970684051,-0.3491486608982086,-1.9471251964569087,pick
joint5,1785501247761805397,1785501247.7618055,1785501247.7615488,0.1924442499876022,-0.3491486608982086,-1.9640793800354004,pick
joint5,1785501247962531491,1785501247.9625318,1785501247.962341,0.1226145252585411,-0.3491486608982086,-2.20143723487854,pick
joint5,1785501248163303725,1785501248.163304,1785501248.1631172,0.0513882003724575,-0.3491486608982086,-2.5066113471984863,pick
joint5,1785501248364053306,1785501248.3640532,1785501248.3638914,-0.0184415280818939,-0.3491486608982086,-2.065804004669189,pick
joint5,1785501248564871108,1785501248.5648713,1785501248.564643,-0.0882712602615356,-0.3491486608982086,-2.3201160430908203,pick
joint5,1785501248765609016,1785501248.765609,1785501248.7653291,-0.1581009924411773,-0.3491486608982086,-2.116666555404663,pick
joint5,1785501248966347084,1785501248.9663472,1785501248.966128,-0.2279307097196579,-0.3491486608982086,-2.574427843093872,pick
joint5,1785501249167160678,1785501249.1671607,1785501249.1668992,-0.2977604568004608,-0.3491486608982086,-2.1675288677215576,pick
joint5,1785501249367931110,1785501249.3679314,1785501249.367678,-0.3689867556095123,-0.3491486608982086,-2.235345363616944,pick
joint5,1785501249568673667,1785501249.5686738,1785501249.5684528,-0.438816487789154,-0.3491486608982086,-2.3201160430908203,pick
joint5,1785501249769438768,1785501249.7694387,1785501249.7692122,-0.5086462497711182,-0.3491486608982086,-2.6252901554107666,pick
joint5,1785501249970172508,1785501249.9701726,1785501249.9699748,-0.5784759521484375,-0.3491486608982086,-2.286207675933838,pick
joint5,1785501250170945394,1785501250.1709454,1785501250.1707222,-0.6483057141304016,-0.3491486608982086,-2.354024171829224,pick
joint5,1785501250371756023,1785501250.371756,1785501250.3715093,-0.7195320129394531,-0.3491486608982086,-2.20143723487854,pick
joint5,1785501250572432593,1785501250.5724328,1785501250.5722744,-0.7893617153167725,-0.3491486608982086,-2.4387948513031006,pick
joint5,1785501250773233203,1785501250.7732332,1785501250.773036,-0.8591914772987366,-0.3491486608982086,-2.184483051300049,pick
joint5,1785501250974303366,1785501250.9743035,1785501250.9740744,-0.929021179676056,-0.3491486608982086,-2.184483051300049,pick
joint5,1785501251175070001,1785501251.17507,1785501251.1748457,-0.99885094165802,-0.3491486608982086,-2.235345363616944,pick
joint5,1785501251375830394,1785501251.3758304,1785501251.375611,-1.0700773000717163,-0.3491486608982086,-2.370978355407715,pick
joint5,1785501251576664058,1785501251.5766642,1785501251.576412,-1.1399070024490356,-0.3491486608982086,-2.0488500595092773,pick
joint5,1785501251777401025,1785501251.7774012,1785501251.7771988,-1.209736704826355,-0.3491486608982086,-1.9471251964569087,pick
joint5,1785501251978062386,1785501251.9780624,1785501251.9779336,-1.2795664072036743,-0.3491486608982086,-1.7775839567184448,pick
joint5,1785501252178733245,1785501252.178733,1785501252.1786203,-1.3493962287902832,-0.3491486608982086,-1.8454004526138303,pick
joint5,1785501252379541531,1785501252.3795416,1785501252.3793752,-1.3962633609771729,0.0,-4.577613830566406,pick
joint5,1785501252580243661,1785501252.5802438,1785501252.58016,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785501252781073669,1785501252.7810738,1785501252.780897,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785501252981852839,1785501252.981853,1785501252.981652,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785501253182481176,1785501253.1824813,1785501253.1822913,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785501253383207694,1785501253.3832078,1785501253.3829818,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785501253583948369,1785501253.5839484,1785501253.5837507,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785501253784684406,1785501253.7846844,1785501253.7845051,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785501253985475088,1785501253.9854753,1785501253.9852655,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785501254186224371,1785501254.1862245,1785501254.1860285,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785501254386904920,1785501254.386905,1785501254.386718,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785501254587836085,1785501254.5878365,1785501254.5875125,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785501254788467469,1785501254.7884676,1785501254.7882764,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785501254989210639,1785501254.9892108,1785501254.9890296,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785501255190418261,1785501255.1904182,1785501255.1901765,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785501255391081858,1785501255.391082,1785501255.390924,-1.3962633609771729,0.0,-1.823339343070984,gripper_closing
joint5,1785501255591932928,1785501255.591933,1785501255.591679,-1.3962633609771729,0.0,-1.823339343070984,gripper_closing
joint5,1785501255792573159,1785501255.7925732,1785501255.7924402,-1.3962633609771729,0.0,-1.823339343070984,gripper_closing
