segment_id,joint,start_time_sec,end_time_sec,duration_sec,phase,label,slope,intercept,start_position,end_position,mean_position
0,joint2,0.0,1.8069241046905518,1.8069241046905518,home,constant,0.0,-0.93549644947052,-0.93549644947052,-0.93549644947052,-0.93549644947052
1,joint2,2.0077500343322754,4.8184638023376465,2.810713768005371,gripper_opening,constant,0.0,-0.93549644947052,-0.93549644947052,-0.93549644947052,-0.93549644947052
2,joint2,5.019251346588135,11.844787359237671,6.825536012649536,pick,ramp_up,0.23678358354489792,-2.123972770028213,-0.93549644947052,0.6806784272193909,-0.12740901112556458
3,joint2,12.045592546463013,14.856439590454102,2.810847043991089,pick,constant,0.0,0.6806784272193909,0.6806784272193909,0.6806784272193909,0.6806784272193909
4,joint2,15.0571129322052,15.86039137840271,0.8032784461975098,gripper_closing,constant,-2.2035553042228137e-17,0.6806784272193912,0.6806784272193909,0.6806784272193909,0.6806784272193909
5,joint2,16.061048984527588,18.87157654762268,2.8105275630950928,lift,ramp_down,-0.08693958928613996,2.0770194294387947,0.6806784272193909,0.4363323152065277,0.5585053712129593
6,joint2,19.072229862213135,20.878697633743286,1.8064677715301514,place,ramp_up,0.22221583766394457,-3.801819219744462,0.4363323152065277,0.8377580642700195,0.6370451897382736
7,joint2,21.079426050186157,21.882439374923706,0.8030133247375488,place,constant,-1.611100060377085e-16,0.8377580642700232,0.8377580642700195,0.8377580642700195,0.8377580642700195
8,joint2,22.083205223083496,22.88628125190735,0.8030760288238525,gripper_opening,constant,-6.069411202509003e-16,0.8377580642700336,0.8377580642700195,0.8377580642700195,0.8377580642700195
9,joint2,23.087023496627808,24.893540859222412,1.8065173625946045,retract,ramp_down,-0.272417267964466,7.1270619306528005,0.8377580642700195,0.3456315398216247,0.5916948020458221
10,joint2,25.094290494918823,25.897258281707764,0.8029677867889404,retract,constant,-0.0010873795453417608,0.307194580512739,0.2803440690040588,0.279252678155899,0.279470956325531
11,joint2,26.097974061965942,27.904892444610596,1.8069183826446533,return_home,ramp_down,-0.2499051379083531,6.80127048524012,0.279252678155899,-0.1723055094480514,0.0534735843539238
