bag_time_ns,bag_time_sec,header_stamp_sec,joint1_position,joint1_velocity,joint1_effort,joint2_position,joint2_velocity,joint2_effort,joint3_position,joint3_velocity,joint3_effort,joint4_position,joint4_velocity,joint4_effort,joint5_position,joint5_velocity,joint5_effort,joint6_position,joint6_velocity,joint6_effort,phase
1782909380295429295,1782909380.2954297,1782909380.2952456,-0.3665191531181335,0.0,0.086251750588417,0.7838382720947266,-0.1160859614610672,-34.75394821166992,-1.1693706512451172,0.0,-13.975519180297852,0.0,0.0,-0.0924724489450454,-1.1680258512496948,0.1000741124153137,-2.09708309173584,0.0,0.0,0.0142662245780229,retract
1782909380496120481,1782909380.4961207,1782909380.4959884,-0.3665191531181335,0.0,0.0022492636926472,0.7175180315971375,-0.3494200110435486,-31.551183700561523,-1.1693706512451172,0.0,-11.48625373840332,0.0,0.0,-0.0775772035121917,-1.1108533143997192,0.3012241423130035,-2.5416862964630127,0.0,0.0,0.0113026704639196,retract
1782909380696917336,1782909380.6969173,1782909380.696707,-0.3665191531181335,0.0,0.0021032844670116,0.6476340293884277,-0.3494200110435486,-31.168682098388672,-1.1693706512451172,0.0,-12.209230422973633,0.0,0.0,-0.0887030884623527,-1.0506083965301514,0.3012241423130035,-2.5925486087799072,0.0,0.0,0.0112992404028773,retract
1782909380897701247,1782909380.8977013,1782909380.8974404,-0.3665191531181335,0.0,0.0019438177114352,0.577750027179718,-0.3494200110435486,-29.791683197021484,-1.1693706512451172,0.0,-12.893446922302246,0.0,0.0,-0.0996009781956672,-0.990363597869873,0.3012241423130035,-2.575594663619995,0.0,0.0,0.0112946256995201,retract
1782909381098479677,1782909381.0984795,1782909381.09825,-0.3665191531181335,0.0,0.0017778930487111,0.5064683556556702,-0.3494200110435486,-29.210283279418945,-1.1693706512451172,0.0,-13.508663177490234,0.0,0.0,-0.1097904592752456,-0.9289138913154602,0.3012241423130035,-2.2365121841430664,0.0,0.0,0.0112890237942337,retract
1782909381299153417,1782909381.2991536,1782909381.298987,-0.3665191531181335,0.0,0.0016032935818657,0.4365843534469604,-0.3494200110435486,-28.261682510375977,-1.1693706512451172,0.0,-14.06574535369873,0.0,0.0,-0.1194400340318679,-0.8686690330505371,0.3012241423130035,-2.100879192352295,0.0,0.0,0.011282367631793,retract
1782909381499970197,1782909381.4999704,1782909381.499776,-0.3665191531181335,0.0,0.0014208715874701,0.3667003512382507,-0.3494200110435486,-28.07808303833008,-1.1693706512451172,0.0,-14.561899185180664,0.0,0.0,-0.128502607345581,-0.8084242343902588,0.3012241423130035,-2.083925008773804,0.0,0.0,0.0112746730446815,retract
1782909381700821914,1782909381.700822,1782909381.7005854,-0.3665191531181335,0.0,0.0012315176427364,0.296816349029541,-0.3494200110435486,-27.29778289794922,-1.1693706512451172,0.0,-14.994624137878418,0.0,0.0,-0.1369339078664779,-0.7481793761253357,0.3012241423130035,-2.083925008773804,0.0,0.0,0.0112659521400928,retract
1782909381901607947,1782909381.901608,1782909381.9013948,-0.3665191531181335,0.0,-2.3520470436361522e-17,0.279252678155899,0.0,-24.87779998779297,-1.1693706512451172,0.0,-15.146536827087402,0.0,0.0,-0.1399113684892654,-0.7330383062362671,0.0,0.2034495025873184,0.0,0.0,0.0112748555839061,retract
1782909382102443552,1782909382.1024437,1782909382.1022296,-0.3665191531181335,0.0,-2.3520470436361522e-17,0.279252678155899,0.0,-24.40811538696289,-1.1693706512451172,0.0,-15.146536827087402,0.0,0.0,-0.1399113684892654,-0.7330383062362671,0.0,-1.630682349205017,0.0,0.0,0.0112748555839061,retract
1782909382303223951,1782909382.303224,1782909382.3030264,-0.3665191531181335,0.0,-2.3520470436361522e-17,0.279252678155899,0.0,-24.40811538696289,-1.1693706512451172,0.0,-15.146536827087402,0.0,0.0,-0.1399113684892654,-0.7330383062362671,0.0,-1.630682349205017,0.0,0.0,0.0112748555839061,retract
1782909382503971048,1782909382.503971,1782909382.5037882,-0.3665191531181335,0.0,-2.3520470436361522e-17,0.279252678155899,0.0,-24.40811538696289,-1.1693706512451172,0.0,-15.146536827087402,0.0,0.0,-0.1399113684892654,-0.7330383062362671,0.0,-1.630682349205017,0.0,0.0,0.0112748555839061,retract
1782909382704672357,1782909382.7046723,1782909382.7045252,-0.3665191531181335,0.0,-2.3520470436361522e-17,0.279252678155899,0.0,-24.40811538696289,-1.1693706512451172,0.0,-15.146536827087402,0.0,0.0,-0.1399113684892654,-0.7330383062362671,0.0,-1.630682349205017,0.0,0.0,0.0112748555839061,retract
