window_id,joint,start_time_sec,end_time_sec,center_time_sec,phase,mean_effort,range_effort,centered_effort_energy,energy_label
0,joint2,0.0,3.813824415206909,1.9067387938499452,gripper_opening,-0.8480995714664459,2.4737332463264465,6.426034797005769,low_energy
1,joint2,1.0033619403839111,4.817552804946899,2.9104215621948244,gripper_opening,-2.099187907576561,6.757733166217804,98.91657225594243,low_energy
2,joint2,2.006887197494507,5.8216328620910645,3.914219152927399,pick,-4.40827122926712,11.118233501911162,295.5127298226454,medium_energy
3,joint2,3.0108444690704346,6.825489521026611,4.918082177639008,pick,-7.730214515328408,14.85143357515335,467.0202410686658,high_energy
4,joint2,4.01453709602356,7.8292741775512695,5.92192530632019,pick,-11.862779569625854,15.529500961303711,441.4209013598437,medium_energy
5,joint2,5.01828145980835,8.833398818969727,6.925842332839966,pick,-15.73367953300476,14.014800071716305,379.3149463619791,medium_energy
6,joint2,6.022382020950317,9.837061882019043,7.929763293266296,pick,-19.16699962615967,11.81160068511963,280.5726173700434,medium_energy
7,joint2,7.026260137557983,10.840810060501099,8.933620893955231,pick,-21.4027587890625,7.940700531005859,111.31929426856667,low_energy
8,joint2,8.03008484840393,11.844553232192993,9.937439811229705,pick,-22.718468856811523,4.284000396728519,23.082262460487318,low_energy
9,joint2,9.034159183502197,12.84874701499939,10.941241943836213,pick,-23.215629005432127,2.3553600311279297,3.960366027903363,low_energy
10,joint2,10.037870407104492,13.8524010181427,11.945054829120636,pick,-23.09237403869629,1.2289199829101598,1.4347321081761122,low_energy
11,joint2,11.041536569595337,14.8562490940094,12.948887634277344,pick,-23.1538200378418,0.0,0.0,low_energy
12,joint2,12.045233726501465,15.860055685043335,13.952751731872558,gripper_closing,-24.626129722595216,7.819046020507809,139.26354083536046,medium_energy
13,joint2,13.049410820007324,16.864092350006104,14.956614482402802,gripper_closing,-26.832292747497558,9.593845367431637,303.94871690558546,medium_energy
14,joint2,14.053192615509033,17.867724418640137,15.96045080423355,lift,-29.570527648925783,11.378280639648434,351.38077644349374,medium_energy
15,joint2,15.05696988105774,18.87139391899109,16.964260351657867,lift,-31.727520656585693,7.577871322631836,78.88029451514211,low_energy
16,joint2,16.060828685760498,19.874956369400024,17.968009638786317,place,-29.297943449020387,20.07360076904297,867.584638827268,high_energy
17,joint2,17.064728021621704,20.879253149032593,18.971750092506408,place,-26.417964506149293,20.07360076904297,1319.191719690719,high_energy
18,joint2,18.068423748016357,21.883177280426025,19.97557920217514,place,-24.890269899368285,17.97201156616211,988.9204025084986,high_energy
19,joint2,19.072100162506104,22.88696575164795,20.979459726810454,gripper_opening,-24.404268789291383,16.187400817871094,868.1791273709941,high_energy
20,joint2,20.075626850128174,23.89073896408081,21.983394849300385,retract,-26.189909267425538,16.156800270080566,526.1024881160849,high_energy
21,joint2,21.08005404472351,24.895187616348267,22.987372648715972,retract,-27.396025466918946,5.907032012939453,77.54374016318184,low_energy
22,joint2,22.083977937698364,25.89938235282898,23.99137340784073,retract,-25.9328875541687,10.729877471923825,183.35408517374066,medium_energy
23,joint2,23.0877788066864,26.903079986572266,24.995421290397644,return_home,-22.47394299507141,14.478379249572754,374.04765734077023,medium_energy
24,joint2,24.09147310256958,27.90674901008606,25.999439215660097,return_home,-18.21057231426239,20.063722133636475,789.6183348783617,high_energy
25,joint2,25.09580421447754,28.910712957382202,27.003399515151976,return_home,-12.808899313211441,22.70520007610321,1022.3192467238551,high_energy
26,joint2,26.100149393081665,29.914960384368896,28.00729457139969,return_home,-7.606484322249889,17.900999635457993,703.6041862370759,high_energy
