segment_id,joint,start_time_sec,end_time_sec,duration_sec,phase,label,slope,intercept,start_position,end_position,mean_position
0,joint2,0.0,0.8030829429626465,0.8030829429626465,home,constant,6.510053375126031e-16,-0.93549644947052,-0.93549644947052,-0.93549644947052,-0.93549644947052
1,joint2,1.003821611404419,3.8138327598571777,2.810011148452759,gripper_opening,constant,0.0,-0.93549644947052,-0.93549644947052,-0.93549644947052,-0.93549644947052
2,joint2,4.0144805908203125,4.817320823669434,0.8028402328491211,gripper_opening,ramp_up,0.05634978989593115,-1.172616090361743,-0.93549644947052,-0.8809700012207031,-0.9237802743911743
3,joint2,5.017989158630371,10.839656114578247,5.821666955947876,pick,ramp_up,0.24978290463927585,-2.0844070434621593,-0.8309991359710693,0.6231537461280823,-0.10392269492149353
4,joint2,11.040285110473633,13.851038694381714,2.810753583908081,pick,constant,0.0027004904083456362,0.6432738300795888,0.673088014125824,0.6806784272193909,0.6768832206726074
5,joint2,14.051691770553589,15.85822868347168,1.8065369129180908,gripper_closing,constant,0.0,0.6806784272193909,0.6806784272193909,0.6806784272193909,0.6806784272193909
6,joint2,16.058974266052246,17.865933179855347,1.8069589138031006,lift,ramp_down,-0.13396878981017782,2.832079775235199,0.6806784272193909,0.4386023283004761,0.5596403777599335
7,joint2,18.066513538360596,18.869560956954956,0.8030474185943604,lift,constant,-4.181087391476731e-17,0.4363323152065285,0.4363323152065277,0.4363323152065277,0.4363323152065277
8,joint2,19.070232152938843,20.876702308654785,1.8064701557159424,place,ramp_up,0.20939291014711195,-3.5336753864141364,0.4594960212707519,0.8377580642700195,0.6486270427703857
9,joint2,21.077555894851685,22.884627103805542,1.8070712089538574,gripper_opening,constant,0.0,0.8377580642700195,0.8377580642700195,0.8377580642700195,0.8377580642700195
10,joint2,23.085352420806885,25.897034406661987,2.8116819858551025,retract,ramp_down,-0.20611670802860227,5.577116454279794,0.8188396096229553,0.2393049746751785,0.5290722921490669
11,joint2,26.098057508468628,27.905517101287842,1.8074595928192139,return_home,ramp_down,-0.26597774083617864,7.127627699491539,0.1861253231763839,-0.29461869597435,-0.05424668639898304
