phase,start_time_ns,end_time_ns
home,1785500933826049278,1785500934879716205
gripper_opening,1785500934879738648,1785500938368750806
pick,1785500938368780132,1785500947939816900
gripper_closing,1785500947939862268,1785500949602528550
lift,1785500949602581282,1785500952474354541
place,1785500952474381063,1785500954738803016
gripper_opening,1785500954738828335,1785500956602729226
retract,1785500956602746359,1785500959321519172
return_home,1785500959321544351,1785500965023084001
