window_id,joint,start_time_sec,end_time_sec,center_time_sec,phase,mean_effort,range_effort,centered_effort_energy,energy_label
0,joint6,0.0,3.8139874935150146,1.9070311546325684,home,-1.970540506590624e-05,0.0,0.0,low_energy
1,joint6,1.0037274360656738,4.817715644836426,2.9107069611549377,gripper_opening,-1.970540506590624e-05,0.0,0.0,low_energy
2,joint6,2.0074610710144043,5.821102857589722,3.9143229126930237,gripper_opening,-1.970540506590624e-05,0.0,0.0,low_energy
3,joint6,3.0110435485839844,6.825075149536133,4.917962658405304,gripper_opening,0.00021443563018691504,0.0015816913382877063,5.101754695370953e-06,medium_energy
4,joint6,4.014695644378662,7.828916311264038,5.921681892871857,gripper_opening,0.0009986581132579615,0.004145501663515406,3.723686444586413e-05,high_energy
5,joint6,5.018362283706665,8.83320164680481,6.925533878803253,pick,0.002392154362496473,0.006480580212155407,9.90955342011315e-05,high_energy
6,joint6,6.0219221115112305,9.837037563323975,7.929472577571869,pick,0.004318137995778621,0.008458746147880405,0.00013734282952536817,high_energy
7,joint6,7.02576756477356,10.840755462646484,8.933406794071198,pick,0.006436438835225945,0.0078568633180112,0.00011741428659647562,high_energy
8,joint6,8.030018329620361,11.844674110412598,9.93734563589096,pick,0.008301611826755054,0.006291968282312099,7.625465262807023e-05,high_energy
9,joint6,9.033935308456421,12.84871792793274,10.941192865371704,pick,0.009708456462249108,0.004379296209663101,3.832960195330177e-05,high_energy
10,joint6,10.03771710395813,13.853141069412231,11.945185124874115,pick,0.010606113076209964,0.0024876808747649,1.2503788052982088e-05,high_energy
11,joint6,11.041526794433594,14.856878280639648,12.949240934848785,pick,0.011077311448752819,0.0010808398947119002,2.0561207044351228e-06,medium_energy
12,joint6,12.045390844345093,15.860801458358765,13.953265357017518,pick,0.011251556221395665,0.00023643951863050114,6.978758201272005e-08,low_energy
13,joint6,13.049798250198364,16.865135669708252,14.957388460636139,pick,0.011274855583906099,0.0,6.018531076210112e-35,low_energy
14,joint6,14.053993940353394,17.868939638137817,15.961380875110626,pick,0.011280735954642223,6.0246326029298955e-05,6.228339096212165e-09,low_energy
15,joint6,15.057555913925171,18.87285351753235,16.965339624881743,gripper_closing,0.011295565636828476,6.189476698639958e-05,1.597775686736247e-08,low_energy
16,joint6,16.061646938323975,19.87681245803833,17.96934893131256,lift,0.011267230426892585,0.0007032221183181,4.373005386042258e-07,low_energy
17,joint6,17.065918922424316,20.880648374557495,18.97326658964157,lift,0.011271870182827074,0.0007032221183181,4.404419837724651e-07,medium_energy
18,joint6,18.069742441177368,21.884483098983765,19.977139353752136,lift,0.011273611569777093,0.0007032221183181,4.3927719313594914e-07,medium_energy
19,joint6,19.073641061782837,22.888744115829468,20.9810630440712,place,0.011262220330536317,0.0006901649758219996,4.194250147835657e-07,low_energy
20,joint6,20.077636241912842,23.89305543899536,21.985100078582764,place,0.011293993983417681,3.651902079579959e-05,2.330755526258655e-09,low_energy
21,joint6,21.081371307373047,24.89680004119873,22.98913916349411,gripper_opening,0.011442908039316456,0.0029776152223349,8.392702008070127e-06,medium_energy
22,joint6,22.085289239883423,25.900704860687256,23.99318574666977,gripper_opening,0.011436904501169843,0.0030002724379301,8.42745704019252e-06,medium_energy
23,joint6,23.089584350585938,26.904555082321167,24.99721267223358,retract,0.011433466058224368,0.0030002724379301,8.448562589459085e-06,medium_energy
24,joint6,24.093790531158447,27.908501386642456,26.00109269618988,retract,0.01139057381078595,0.0033495854586362995,8.872774542091103e-06,medium_energy
25,joint6,25.097584009170532,28.912179708480835,27.004948365688325,retract,0.010926789138466066,0.0020200330764056015,6.735604697453369e-06,medium_energy
26,joint6,26.10149073600769,29.916024446487427,28.008785939216615,return_home,0.01002354184165591,0.0048086703754961005,4.6279860946570975e-05,high_energy
27,joint6,27.10524582862854,30.919635772705078,29.012574779987336,return_home,0.008289170858915835,0.008406234439462399,0.00014540052040758628,high_energy
28,joint6,28.109209537506104,31.923232793807983,30.01628782749176,return_home,0.005697444651559579,0.010714491379985607,0.00025845907253155373,high_energy
