phase,start_time_ns,end_time_ns
home,1785500684459809606,1785500685512834967
gripper_opening,1785500685512864504,1785500689003733870
pick,1785500689003768867,1785500698572599623
gripper_closing,1785500698572623599,1785500700334722003
lift,1785500700334744686,1785500703202929888
place,1785500703202958914,1785500705466970527
gripper_opening,1785500705466998851,1785500707331887188
retract,1785500707331912126,1785500710048773202
return_home,1785500710048818489,1785500715741750535
