bag_time_ns,bag_time_sec,header_stamp_sec,joint1_position,joint1_velocity,joint1_effort,joint2_position,joint2_velocity,joint2_effort,joint3_position,joint3_velocity,joint3_effort,joint4_position,joint4_velocity,joint4_effort,joint5_position,joint5_velocity,joint5_effort,joint6_position,joint6_velocity,joint6_effort,phase
1785500700476128653,1785500700.4761288,1785500700.4759533,-0.021577415987849236,-0.21959897875785828,-6.213509559631348,0.6669473648071289,-0.1397448033094406,-26.42876625061035,-0.811879575252533,-0.26950782537460327,-8.947821617126465,0.0,0.0,-0.015789814293384552,-1.3619356155395508,0.34936195611953735,-2.5720856189727783,0.0,0.0,0.011320711113512516,lift
1785500700676876484,1785500700.6768765,1785500700.676682,-0.06549721211194992,-0.21959897875785828,-4.377509593963623,0.6389983892440796,-0.1397448033094406,-25.8626651763916,-0.8657811284065247,-0.26950782537460327,-8.167521476745605,0.0,0.0,-0.030417675152420998,-1.2920632362365723,0.34936195611953735,-2.6059939861297607,0.0,0.0,0.011326644569635391,lift
1785500700877631168,1785500700.8776314,1785500700.8774366,-0.10941700637340546,-0.21959897875785828,-3.995009660720825,0.6110494136810303,-0.1397448033094406,-26.903066635131836,-0.9196826815605164,-0.26950782537460327,-9.835221290588379,0.0,0.0,-0.04494313895702362,-1.2221908569335938,0.34936195611953735,-2.724672794342041,0.0,0.0,0.011330701410770416,lift
1785500701078317214,1785500701.0783174,1785500701.0781584,-0.1533367931842804,-0.21959897875785828,-4.408109664916992,0.583100438117981,-0.1397448033094406,-27.668066024780273,-0.9735842347145081,-0.26950782537460327,-10.84502124786377,0.0,0.0,-0.059267908334732056,-1.1523184776306152,0.34936195611953735,-2.6907646656036377,0.0,0.0,0.011332890950143337,lift
1785500701279032487,1785500701.2790327,1785500701.2789109,-0.19725659489631653,-0.21959897875785828,-4.239809513092041,0.5551515221595764,-0.1397448033094406,-27.897565841674805,-1.0274858474731445,-0.26950782537460327,-11.502921104431152,0.0,0.0,-0.0735689103603363,-1.0824460983276367,0.34936195611953735,-2.368636131286621,0.0,0.0,0.011333209462463856,lift
1785500701479828475,1785500701.4798286,1785500701.479609,-0.2420547902584076,-0.21959897875785828,-5.234309673309326,0.5266435742378235,-0.1397448033094406,-28.5860652923584,-1.082465410232544,-0.26950782537460327,-13.032920837402344,0.0,0.0,-0.08718308806419373,-1.0111762285232544,0.34936195611953735,-2.70771861076355,0.0,0.0,0.011331656947731972,lift
1785500701680523449,1785500701.6805236,1785500701.6803803,-0.2859745919704437,-0.21959897875785828,-4.148009777069092,0.49869459867477417,-0.1397448033094406,-28.861465454101562,-1.1363669633865356,-0.26950782537460327,-14.088621139526367,0.0,0.0,-0.10029374063014984,-0.9413038492202759,0.34936195611953735,-2.6568562984466553,0.0,0.0,0.011328269727528095,lift
1785500701881418046,1785500701.881418,1785500701.881109,-0.32989436388015747,-0.21959897875785828,-4.178609848022461,0.47074562311172485,-0.1397448033094406,-28.98386573791504,-1.1902685165405273,-0.26950782537460327,-14.04272174835205,0.0,0.0,-0.11280138045549393,-0.8714314699172974,0.34936195611953735,-2.521223306655884,0.0,0.0,0.011323060840368271,lift
1785500702082077816,1785500702.0820777,1785500702.0819054,-0.3738141655921936,-0.21959897875785828,-4.515209674835205,0.4427966773509979,-0.1397448033094406,-29.504066467285156,-1.244170069694519,-0.26950782537460327,-15.159621238708496,0.0,0.0,-0.12460843473672867,-0.8015590906143188,0.34936195611953735,-2.2330031394958496,0.0,0.0,0.011316044256091118,lift
1785500702282814814,1785500702.2828147,1785500702.2826285,-0.3839724361896515,0.0,-2.7692999839782715,0.4363323152065277,0.0,-28.85580062866211,-1.2566370964050293,0.0,-16.722900390625,0.0,0.0,-0.13166728615760803,-0.7853981852531433,0.0,-0.06781650334596634,0.0,0.0,0.0112834507599473,lift
1785500702483415592,1785500702.4834156,1785500702.483306,-0.3839724361896515,0.0,-8.729206564025559e-17,0.4363323152065277,0.0,-26.809432983398438,-1.2566370964050293,0.0,-14.744183540344238,0.0,0.0,-0.13166728615760803,-0.7853981852531433,0.0,-1.659764289855957,0.0,0.0,0.0112834507599473,lift
1785500702684244236,1785500702.6842444,1785500702.6840656,-0.3839724361896515,0.0,-8.729206564025559e-17,0.4363323152065277,0.0,-26.809432983398438,-1.2566370964050293,0.0,-14.744183540344238,0.0,0.0,-0.13166728615760803,-0.7853981852531433,0.0,-1.659764289855957,0.0,0.0,0.0112834507599473,lift
1785500702885017203,1785500702.8850172,1785500702.8848803,-0.3839724361896515,0.0,-8.729206564025559e-17,0.4363323152065277,0.0,-26.809432983398438,-1.2566370964050293,0.0,-14.744183540344238,0.0,0.0,-0.13166728615760803,-0.7853981852531433,0.0,-1.659764289855957,0.0,0.0,0.0112834507599473,lift
1785500703086011149,1785500703.0860112,1785500703.0856938,-0.3839724361896515,0.0,-8.729206564025559e-17,0.4363323152065277,0.0,-26.809432983398438,-1.2566370964050293,0.0,-14.744183540344238,0.0,0.0,-0.13166728615760803,-0.7853981852531433,0.0,-1.659764289855957,0.0,0.0,0.0112834507599473,lift
