bag_time_ns,bag_time_sec,header_stamp_sec,joint1_position,joint1_velocity,joint1_effort,joint2_position,joint2_velocity,joint2_effort,joint3_position,joint3_velocity,joint3_effort,joint4_position,joint4_velocity,joint4_effort,joint5_position,joint5_velocity,joint5_effort,joint6_position,joint6_velocity,joint6_effort
1785501242341671126,1785501242.3416712,1785501242.3413968,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.0750491544604301,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502195,0.0,0.0,-1.9705405065906237e-05
1785501242542271474,1785501242.5422716,1785501242.5421169,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.0750491544604301,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502195,0.0,0.0,-1.9705405065906237e-05
1785501242742905668,1785501242.7429056,1785501242.7428124,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.0750491544604301,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502195,0.0,0.0,-1.9705405065906237e-05
1785501242943608054,1785501242.9436083,1785501242.9434855,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.0750491544604301,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502195,0.0,0.0,-1.9705405065906237e-05
1785501243144342873,1785501243.144343,1785501243.144184,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.0750491544604301,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502195,0.0,0.0,-1.9705405065906237e-05
1785501243345033085,1785501243.3450332,1785501243.3448892,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.0750491544604301,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502195,0.0,0.0,-1.9705405065906237e-05
1785501243545723118,1785501243.5457232,1785501243.5455885,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.0750491544604301,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502195,0.0,0.0,-1.9705405065906237e-05
1785501243746520679,1785501243.7465208,1785501243.7463531,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.0750491544604301,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502195,0.0,0.0,-1.9705405065906237e-05
1785501243947167317,1785501243.9471674,1785501243.9470594,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.0750491544604301,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502195,0.0,0.0,-1.9705405065906237e-05
1785501244147875615,1785501244.1478758,1785501244.1477356,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.0750491544604301,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502195,0.0,0.0,-1.9705405065906237e-05
