segment_id,joint,start_time_sec,end_time_sec,duration_sec,phase,label,slope,intercept,start_velocity,end_velocity,mean_velocity
0,joint2,0.0,2.8106930255889893,2.8106930255889893,home,constant,0.0,0.0,0.0,0.0,0.0
1,joint2,3.011448383331299,5.821768760681152,2.8103203773498535,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
2,joint2,6.023050785064697,6.826139211654663,0.8030884265899658,pick,ramp_up,0.34920312953002114,-2.0838827417964185,0.0,0.2498544454574585,0.15961370542645453
3,joint2,7.026851415634155,11.844084978103638,4.817233562469482,pick,constant,0.0,0.2498544454574585,0.2498544454574585,0.2498544454574585,0.2498544454574585
4,joint2,12.044848918914795,12.847810983657837,0.802962064743042,pick,ramp_down,-0.2489559717569849,3.29846139036409,0.2498544454574585,0.0,0.1998835563659668
5,joint2,13.04846477508545,15.858628511428833,2.810163736343384,pick,constant,0.0,0.0,0.0,0.0,0.0
6,joint2,16.05931830406189,16.862205505371094,0.8028872013092041,gripper_closing,constant,0.0,0.0,0.0,0.0,0.0
7,joint2,17.06303381919861,17.86586356163025,0.8028297424316406,gripper_closing,ramp_down,-0.13925784789504006,2.40411085879268,0.0,-0.1397448033094406,-0.027948960661888123
8,joint2,18.066617488861084,18.869518756866455,0.8029012680053711,lift,constant,2.2156273273338765e-17,-0.139744803309441,-0.1397448033094406,-0.1397448033094406,-0.1397448033094406
9,joint2,19.070276260375977,20.87700128555298,1.806725025177002,lift,ramp_up,0.2707944073690603,-5.3038689616022126,-0.1397448033094406,0.3495062291622162,0.10488071292638779
10,joint2,21.077982664108276,21.88074803352356,0.8027653694152832,place,ramp_down,-0.34831420283486314,7.761169962769842,0.3495062291622162,0.0,0.27960498332977296
11,joint2,22.081480264663696,22.88437843322754,0.8028981685638428,place,constant,0.0,0.0,0.0,0.0,0.0
12,joint2,23.08501386642456,23.88780951499939,0.8027956485748291,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
13,joint2,24.08846950531006,24.89111089706421,0.8026413917541504,gripper_opening,ramp_down,-0.3478368315688749,8.448658837307015,0.0,-0.3489734828472137,-0.06979469656944273
14,joint2,25.09225034713745,25.895004749298096,0.8027544021606445,retract,constant,-8.114553184769289e-17,-0.34897348284721147,-0.3489734828472137,-0.3489734828472137,-0.3489734828472137
15,joint2,26.095709562301636,26.898377895355225,0.8026683330535889,retract,ramp_up,0.5216757234701989,-13.962449783063006,-0.3489734828472137,0.0,-0.13958939313888546
16,joint2,27.09904980659485,27.90220808982849,0.8031582832336426,return_home,ramp_down,-0.39728054992927825,10.792221887310815,0.0,-0.2658982574939728,-0.13324342668056488
17,joint2,28.102826356887817,31.916902542114258,3.8140761852264404,return_home,constant,0.0,-0.2658982574939728,-0.2658982574939728,-0.2658982574939728,-0.2658982574939728
