segment_id,joint,start_time_sec,end_time_sec,duration_sec,phase,label,slope,intercept,start_velocity,end_velocity,mean_velocity
0,joint2,0.0,2.8103227615356445,2.8103227615356445,home,constant,0.0,0.0,0.0,0.0,0.0
1,joint2,3.0110435485839844,5.821102857589722,2.8100593090057373,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
2,joint2,6.0219221115112305,6.825075149536133,0.8031530380249023,pick,ramp_up,0.29028323295373076,-1.7008055532776296,0.0,0.2336651682853698,0.16381980031728738
3,joint2,7.02576756477356,11.844674110412598,4.818906545639038,pick,constant,0.0,0.2336651682853698,0.2336651682853698,0.2336651682853698,0.2336651682853698
4,joint2,12.045390844345093,12.84871792793274,0.8033270835876465,pick,ramp_down,-0.23279271621695363,3.0845000158805593,0.2336651682853698,0.0,0.18693213462829583
5,joint2,13.049798250198364,15.860801458358765,2.8110032081604004,pick,constant,0.0,0.0,0.0,0.0,0.0
6,joint2,16.061646938323975,16.865135669708252,0.8034887313842773,gripper_closing,constant,0.0,0.0,0.0,0.0,0.0
7,joint2,17.065918922424316,17.868939638137817,0.803020715713501,gripper_closing,ramp_down,-0.1193368967205915,2.0525673043935515,0.0,-0.0798541828989982,-0.03194167315959928
8,joint2,18.069742441177368,18.87285351753235,0.8031110763549805,lift,constant,-3.412369789364399e-17,-0.07985418289899754,-0.0798541828989982,-0.0798541828989982,-0.0798541828989982
9,joint2,19.073641061782837,19.87681245803833,0.8031713962554932,lift,ramp_up,0.11721962944188151,-2.3139806005397237,-0.0798541828989982,0.0,-0.031102342903614022
10,joint2,20.077636241912842,20.880648374557495,0.8030121326446533,place,ramp_up,0.47403240086274806,-9.517452712533803,0.0,0.3172131478786468,0.19032788872718806
11,joint2,21.081371307373047,21.884483098983765,0.8031117916107178,place,ramp_down,-0.47398170298103653,10.372839744270122,0.3172131478786468,0.0,0.19032788872718806
12,joint2,22.085289239883423,22.888744115829468,0.8034548759460449,place,constant,0.0,0.0,0.0,0.0,0.0
13,joint2,23.089584350585938,23.89305543899536,0.8034710884094238,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
14,joint2,24.093790531158447,24.89680004119873,0.8030095100402832,retract,ramp_down,-0.5221757117695617,12.627868781190251,0.0,-0.3494200110435486,-0.16298519670963288
15,joint2,25.097584009170532,26.904555082321167,1.8069710731506348,retract,constant,0.19337332856928355,-5.202623369944079,-0.3494200110435486,0.0,-0.1747100055217743
16,joint2,27.10524582862854,30.919635772705078,3.814389944076538,return_home,constant,-0.0006369575648938218,-0.24620376158478666,-0.2634686529636383,-0.2658982574939728,-0.26468345522880554
17,joint2,31.120301485061646,31.923232793807983,0.8029313087463379,return_home,ramp_up,0.3973920272308981,-12.68602791374597,-0.2658982574939728,0.0,-0.15953895449638367
