phase,start_time_ns,end_time_ns
home,1788528814750645092,1788528815803919749
gripper_opening,1788528815803948523,1788528819297969928
pick,1788528819298018079,1788528828212775032
gripper_closing,1788528828212802625,1788528829976290581
lift,1788528829976319596,1788528832191582035
place,1788528832191602093,1788528834515341328
gripper_opening,1788528834515398847,1788528836380320705
retract,1788528836380367043,1788528839002817703
return_home,1788528839002838182,1788528844704393096
