segment_id,joint,signal,start_time_sec,end_time_sec,duration_sec,phase,label,slope,intercept,start_value,end_value,mean_value
0,joint6,velocity,0.0,0.8030829429626465,0.8030829429626465,home,constant,0.0,0.0,0.0,0.0,0.0
1,joint6,velocity,1.003821611404419,4.817320823669434,3.8134992122650146,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
2,joint6,velocity,5.017989158630371,13.851038694381714,8.833049535751343,pick,constant,0.0,0.0,0.0,0.0,0.0
3,joint6,velocity,14.051691770553589,15.85822868347168,1.8065369129180908,gripper_closing,constant,0.0,0.0,0.0,0.0,0.0
4,joint6,velocity,16.058974266052246,18.869560956954956,2.81058669090271,lift,constant,0.0,0.0,0.0,0.0,0.0
5,joint6,velocity,19.070232152938843,20.876702308654785,1.8064701557159424,place,constant,0.0,0.0,0.0,0.0,0.0
6,joint6,velocity,21.077555894851685,22.884627103805542,1.8070712089538574,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
7,joint6,velocity,23.085352420806885,25.897034406661987,2.8116819858551025,retract,constant,0.0,0.0,0.0,0.0,0.0
8,joint6,velocity,26.098057508468628,27.905517101287842,1.8074595928192139,return_home,constant,0.0,0.0,0.0,0.0,0.0
