joint,bag_time_ns,bag_time_sec,header_stamp_sec,position,velocity,effort,phase
joint5,1785502144822426685,1785502144.8224268,1785502144.822212,0.8621926307678223,0.0,-1.5899393558502195,home
joint5,1785502145023250583,1785502145.0232508,1785502145.023045,0.8621926307678223,0.0,-1.5899393558502195,home
joint5,1785502145223945299,1785502145.2239454,1785502145.223821,0.8621926307678223,0.0,-1.5899393558502195,home
joint5,1785502145424617464,1785502145.4246175,1785502145.4245148,0.8621926307678223,0.0,-1.5899393558502195,home
joint5,1785502145625403000,1785502145.625403,1785502145.6252332,0.8621926307678223,0.0,-1.5899393558502195,home
joint5,1785502145826109722,1785502145.82611,1785502145.8259454,0.8621926307678223,0.0,-1.5899393558502195,home
joint5,1785502146027238870,1785502146.027239,1785502146.0270147,0.8621926307678223,0.0,-1.5899393558502195,home
joint5,1785502146227820788,1785502146.2278209,1785502146.227745,0.8621926307678223,0.0,-1.5899393558502195,home
joint5,1785502146428668857,1785502146.428669,1785502146.4284754,0.8621926307678223,0.0,-1.5899393558502195,home
joint5,1785502146629348933,1785502146.629349,1785502146.6292331,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785502146830170252,1785502146.8301704,1785502146.8300114,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785502147030901882,1785502147.030902,1785502147.030768,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785502147231607889,1785502147.231608,1785502147.2315118,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785502147432340705,1785502147.4323409,1785502147.4322336,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785502147633181641,1785502147.6331818,1785502147.632988,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785502147833771480,1785502147.8337717,1785502147.8337092,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785502148034542452,1785502148.0345426,1785502148.034443,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785502148235398494,1785502148.2353983,1785502148.235211,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785502148436175922,1785502148.436176,1785502148.435994,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785502148636993439,1785502148.6369936,1785502148.6367457,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785502148837759432,1785502148.8377595,1785502148.83752,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785502149038291067,1785502149.038291,1785502149.0382068,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785502149239070462,1785502149.239071,1785502149.2389414,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785502149439901352,1785502149.4399016,1785502149.439704,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785502149640568808,1785502149.640569,1785502149.6404483,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785502149841373611,1785502149.841374,1785502149.8412046,0.8621926307678223,0.0,-1.5899393558502195,gripper_opening
joint5,1785502150042139714,1785502150.0421398,1785502150.041956,0.8621755242347717,-0.0037359909620136,-1.5959436893463137,pick
joint5,1785502150242851794,1785502150.242852,1785502150.2426846,0.8027560710906982,-0.3491486608982086,-1.506317973136902,pick
joint5,1785502150444043691,1785502150.444044,1785502150.4438994,0.7315297722816467,-0.3491486608982086,-1.523272156715393,pick
joint5,1785502150644830296,1785502150.6448302,1785502150.6446335,0.6617000102996826,-0.3491486608982086,-1.2689602375030518,pick
joint5,1785502150845575640,1785502150.8455758,1785502150.845372,0.5904737114906311,-0.3491486608982086,-1.7775839567184448,pick
joint5,1785502151046258699,1785502151.0462587,1785502151.0460856,0.5192474126815796,-0.3491486608982086,-1.743675708770752,pick
joint5,1785502151247231109,1785502151.2472312,1785502151.2470543,0.4480210542678833,-0.3491486608982086,-1.6080427169799805,pick
joint5,1785502151447897665,1785502151.4478977,1785502151.4477477,0.3767947256565094,-0.3491486608982086,-1.9979876279830933,pick
joint5,1785502151648592141,1785502151.6485922,1785502151.648429,0.30696502327919,-0.3491486608982086,-1.9979876279830933,pick
joint5,1785502151849314963,1785502151.8493152,1785502151.8490891,0.2357386797666549,-0.3491486608982086,-2.1675288677215576,pick
joint5,1785502152049967563,1785502152.0499678,1785502152.0498223,0.1645123660564422,-0.3491486608982086,-2.116666555404663,pick
joint5,1785502152250612960,1785502152.2506132,1785502152.2504902,0.0932860374450683,-0.3491486608982086,-2.099712371826172,pick
joint5,1785502152451321698,1785502152.4513216,1785502152.4511542,0.0234563089907169,-0.3491486608982086,-2.3370702266693115,pick
joint5,1785502152652001130,1785502152.6520011,1785502152.6517825,-0.0477700158953666,-0.3491486608982086,-2.20143723487854,pick
joint5,1785502152852611817,1785502152.852612,1785502152.85246,-0.1189963370561599,-0.3491486608982086,-2.2522995471954346,pick
joint5,1785502153053411085,1785502153.0534112,1785502153.0532196,-0.1888260692358017,-0.3491486608982086,-2.2522995471954346,pick
joint5,1785502153253968500,1785502153.2539685,1785502153.2539084,-0.2600523829460144,-0.3491486608982086,-2.5405197143554688,pick
joint5,1785502153454661131,1785502153.4546611,1785502153.454571,-0.3312787115573883,-0.3491486608982086,-2.133620500564575,pick
joint5,1785502153655412296,1785502153.6554124,1785502153.6552267,-0.40110844373703,-0.3491486608982086,-2.354024171829224,pick
joint5,1785502153856251807,1785502153.856252,1785502153.8559885,-0.4723347723484039,-0.3491486608982086,-2.184483051300049,pick
joint5,1785502154056913744,1785502154.056914,1785502154.056727,-0.5435611009597778,-0.3491486608982086,-2.489657163619995,pick
joint5,1785502154257881880,1785502154.257882,1785502154.2577093,-0.6147873997688293,-0.3491486608982086,-2.184483051300049,pick
joint5,1785502154458548736,1785502154.4585488,1785502154.4583893,-0.6846171617507935,-0.3491486608982086,-2.218391180038452,pick
joint5,1785502154659246743,1785502154.659247,1785502154.6591048,-0.755843460559845,-0.3491486608982086,-2.354024171829224,pick
joint5,1785502154859997166,1785502154.8599973,1785502154.8597815,-0.8270698189735413,-0.3491486608982086,-2.3370702266693115,pick
joint5,1785502155060623602,1785502155.0606236,1785502155.0604744,-0.8968995213508606,-0.3491486608982086,-2.133620500564575,pick
joint5,1785502155261217429,1785502155.2612176,1785502155.261129,-0.968125820159912,-0.3491486608982086,-2.1505746841430664,pick
joint5,1785502155461937774,1785502155.4619377,1785502155.461774,-1.0379555225372314,-0.3491486608982086,-2.184483051300049,pick
joint5,1785502155662606566,1785502155.6626067,1785502155.6624422,-1.1091818809509275,-0.3491486608982086,-1.9301711320877075,pick
joint5,1785502155863267386,1785502155.8632674,1785502155.86311,-1.180408239364624,-0.3491486608982086,-1.8962628841400144,pick
joint5,1785502156063952439,1785502156.0639524,1785502156.0638118,-1.2502379417419434,-0.3491486608982086,-1.828446388244629,pick
joint5,1785502156264742358,1785502156.2647426,1785502156.2645657,-1.3214643001556396,-0.3491486608982086,-1.9132169485092163,pick
joint5,1785502156465441684,1785502156.465442,1785502156.4653325,-1.3905977010726929,-0.2617247104644775,-2.0152528285980225,pick
joint5,1785502156666136767,1785502156.666137,1785502156.6660154,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785502156866923646,1785502156.8669236,1785502156.866708,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785502157067550441,1785502157.067551,1785502157.067386,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785502157268213730,1785502157.268214,1785502157.2680526,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785502157468875777,1785502157.468876,1785502157.4687116,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785502157669538280,1785502157.6695385,1785502157.6693766,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785502157870159019,1785502157.8701591,1785502157.8700426,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785502158070860023,1785502158.07086,1785502158.070702,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785502158271521651,1785502158.2715216,1785502158.2713635,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785502158472290297,1785502158.4722905,1785502158.4720716,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785502158672962982,1785502158.6729631,1785502158.6727571,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785502158873553509,1785502158.8735535,1785502158.8734453,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785502159074335640,1785502159.0743358,1785502159.0741444,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785502159275026946,1785502159.275027,1785502159.2748525,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785502159475679075,1785502159.4756792,1785502159.475536,-1.3962633609771729,0.0,-1.823339343070984,pick
joint5,1785502159676412831,1785502159.676413,1785502159.6761973,-1.3962633609771729,0.0,-1.823339343070984,gripper_closing
joint5,1785502159877089821,1785502159.87709,1785502159.8769338,-1.3962633609771729,0.0,-1.823339343070984,gripper_closing
joint5,1785502160077816017,1785502160.0778162,1785502160.0776691,-1.3962633609771729,0.0,-1.823339343070984,gripper_closing
joint5,1785502160278474162,1785502160.2784743,1785502160.278376,-1.3962633609771729,0.0,-1.823339343070984,gripper_closing
joint5,1785502160479311752,1785502160.479312,1785502160.4790754,-1.3962633609771729,0.0,-1.823339343070984,gripper_closing
joint5,1785502160679922255,1785502160.6799223,1785502160.6797657,-1.3962633609771729,0.0,-1.823339343070984,gripper_closing
joint5,1785502160880692297,1785502160.8806922,1785502160.880489,-1.3962633609771729,0.0,-1.823339343070984,gripper_closing
joint5,1785502161081658806,1785502161.081659,1785502161.0814776,-1.3962633609771729,0.0,-1.823339343070984,gripper_closing
joint5,1785502161282402819,1785502161.282403,1785502161.2822287,-1.3962633609771729,0.0,-1.823339343070984,gripper_closing
joint5,1785502161483139802,1785502161.48314,1785502161.4829564,-1.3962633609771729,0.0,-1.823339343070984,gripper_closing
joint5,1785502161683873948,1785502161.683874,1785502161.683653,-1.350756049156189,0.3493619561195373,-3.470654249191284,lift
joint5,1785502161884471323,1785502161.8844714,1785502161.884366,-1.2808836698532104,0.3493619561195373,-3.724966287612915,lift
joint5,1785502162085243032,1785502162.0852432,1785502162.0850914,-1.209613800048828,0.3493619561195373,-3.555424928665161,lift
joint5,1785502162285946771,1785502162.285947,1785502162.2857788,-1.1397414207458496,0.3493619561195373,-3.623241424560547,lift
joint5,1785502162486597114,1785502162.4865973,1785502162.4865315,-1.0684715509414673,0.3493619561195373,-3.555424928665161,lift
joint5,1785502162687325414,1785502162.6873257,1785502162.687209,-0.9985992312431335,0.3493619561195373,-3.606287240982056,lift
