timestep,joint1_position,joint1_velocity,joint2_position,joint2_velocity,joint3_position,joint3_velocity,joint4_position,joint4_velocity,joint5_position,joint5_velocity,joint6_position,joint6_velocity,joint7_position,joint7_velocity,finger1_position,finger2_position,finger1_velocity,finger2_velocity,gripper_width,phase
0,0.0,0.0,-0.569,0.0,0.0,0.0,-2.81,0.0,0.0,0.0,3.037,0.0,0.741,0.0,0.04,0.04,0.0,0.0,0.08,approach
1,0.0023311495,0.057554837,-0.58693534,-0.6699022,-0.003744026,-0.11209716,-2.8165138,-0.18382417,-0.0005945692,-0.020805573,3.0185905,-0.5078526,0.7360278,-0.13676974,0.039997235,0.04,2.2555954e-05,2.6777732e-05,0.079997234,approach
2,-2.4000099e-05,-0.032029953,-0.6139451,-0.8175782,0.00021196692,0.14013843,-2.8238075,-0.19421867,0.000401493,0.022120312,3.0010176,-0.48586848,0.7411267,0.14018804,0.04,0.03999207,2.5741804e-06,4.7896778e-05,0.07999207,approach
3,0.00021057088,0.0051615187,-0.64369446,-0.8692997,0.0029523137,0.06817457,-2.8305802,-0.18247062,0.0020161609,0.044601817,2.9798608,-0.587896,0.7451182,0.10946259,0.03999774,0.039998338,-1.0647959e-05,0.00010487296,0.07999608,approach
4,-0.004846408,-0.100291714,-0.6670251,-0.61653906,0.014488479,0.35638303,-2.8301766,0.05152896,0.0019959756,-0.0037206996,2.9550078,-0.6871451,0.756148,0.3031216,0.04,0.03998999,1.0766872e-05,0.00012294867,0.079989985,approach
5,-0.0048502046,-0.0022824868,-0.6977541,-0.9566056,0.020735092,0.153019,-2.8349302,-0.15148076,0.0024991857,0.014393591,2.9268186,-0.7816817,0.76120365,0.13894866,0.039994232,0.04,5.4177904e-06,9.497983e-07,0.07999423,approach
6,-0.0024342074,0.032003757,-0.73089194,-0.95348036,0.01791584,-0.1198199,-2.8403587,-0.14120121,0.0020727636,-0.010395079,2.9000404,-0.74321556,0.7571372,-0.11156359,0.03998449,0.04,0.00018062892,4.1413796e-06,0.079984486,approach
7,-0.0060695065,-0.13286337,-0.75813067,-0.72992796,0.014079087,-0.12590781,-2.845301,-0.14964284,-0.0007342814,-0.07490434,2.882801,-0.48070854,0.75282043,-0.118014686,0.039983783,0.04,0.0003569885,1.2609298e-05,0.079983786,approach
8,-0.007841905,-0.05154189,-0.7761312,-0.4616818,0.007982704,-0.17394331,-2.8448644,0.046839718,-0.0027073997,-0.055022985,2.8657498,-0.47061133,0.74641895,-0.17567056,0.039994054,0.0399982,0.00020020388,-3.0307712e-05,0.07999225,approach
9,-0.010291177,-0.043359976,-0.7844483,-0.18596569,0.00821426,0.041996785,-2.8382127,0.21715403,-0.0034015442,-0.024548741,2.8548932,-0.29717165,0.74733084,0.025554959,0.04,0.03998858,2.6411084e-07,0.0001163233,0.079988584,approach
10,-0.013468161,-0.08808972,-0.7991749,-0.4950633,0.010776694,0.072128266,-2.8331416,0.15111579,-0.003421063,-0.0024572245,2.8344684,-0.5609336,0.7509961,0.101375334,0.039999485,0.039995115,5.371748e-05,9.4840754e-05,0.079994604,approach
11,-0.019424137,-0.13675414,-0.81714445,-0.513735,0.020120109,0.30212942,-2.83231,-0.013527386,-0.0053993566,-0.056495346,2.8174646,-0.47377604,0.75972134,0.2416236,0.04,0.039988704,2.3418843e-05,0.00015806338,0.0799887,approach
12,-0.022741895,-0.120573044,-0.8271666,-0.23298886,0.023594275,0.055252627,-2.8271725,0.18430915,-0.008746034,-0.09104067,2.8055792,-0.3255966,0.75935864,-0.008227692,0.039989147,0.04,0.00015849747,1.4620218e-05,0.07998915,approach
13,-0.028061504,-0.11822899,-0.84591925,-0.62609595,0.030781208,0.23519309,-2.8256993,0.030514538,-0.009924787,-0.035359807,2.7831542,-0.61899114,0.76689804,0.20864756,0.04,0.03999175,3.2285887e-05,8.9403504e-05,0.07999175,approach
