timestep,joint1_position,joint1_velocity,joint2_position,joint2_velocity,joint3_position,joint3_velocity,joint4_position,joint4_velocity,joint5_position,joint5_velocity,joint6_position,joint6_velocity,joint7_position,joint7_velocity,finger1_position,finger2_position,finger1_velocity,finger2_velocity,gripper_width,phase
0,0.0,0.0,-0.569,0.0,0.0,0.0,-2.81,0.0,0.0,0.0,3.037,0.0,0.741,0.0,0.04,0.04,0.0,0.0,0.08,approach
1,-0.0014692777,-0.024161719,-0.58888847,-0.7506076,0.0020963035,0.067789726,-2.8151934,-0.12772442,0.00018291463,-0.0020854906,3.0156972,-0.5853554,0.7426119,0.044265606,0.04,0.03999748,5.517818e-06,-1.618846e-05,0.07999748,approach
2,-0.0016241962,0.0022415484,-0.61073494,-0.59639454,0.004342584,0.06515718,-2.8168082,-0.026431004,-4.0821316e-05,-0.0072287857,2.9968665,-0.5208375,0.7439944,0.037960388,0.04,0.039997518,2.2460774e-06,5.4697713e-05,0.07999752,approach
3,-0.00032888405,0.005675338,-0.64089024,-0.9367607,0.001167287,-0.11642765,-2.8249714,-0.25825417,0.0003676403,0.013416189,2.9717915,-0.6983147,0.7415676,-0.06652983,0.03999027,0.039999988,9.450257e-05,-1.139785e-06,0.07999025,approach
4,0.0010234162,0.034790378,-0.66248596,-0.54446435,-0.003130758,-0.119004235,-2.8230064,0.1308104,-5.63549e-05,-0.01537576,2.9483745,-0.6435612,0.73712474,-0.12234087,0.03999614,0.039999023,9.361088e-05,1.0239163e-05,0.07999516,approach
5,0.0032829857,0.07077679,-0.6797953,-0.47601405,-0.006685216,-0.08973183,-2.8218868,0.0036148042,0.00026701746,0.009052842,2.9316192,-0.46554372,0.7339951,-0.08620939,0.04,0.039995696,3.321112e-06,3.1865227e-05,0.07999569,approach
6,0.010044052,0.18809521,-0.7039913,-0.74950296,-0.013451936,-0.19266468,-2.8284352,-0.21567105,0.0037224614,0.09595643,2.910457,-0.5894698,0.7299322,-0.11268487,0.04,0.03999706,2.1227088e-05,0.000104242856,0.07999706,approach
7,0.017254356,0.17525086,-0.7253209,-0.5780504,-0.023479158,-0.30066755,-2.8321679,-0.07644535,0.0058530797,0.057548992,2.8917937,-0.51690805,0.7211256,-0.24369808,0.039993994,0.04,7.09543e-05,2.6093963e-05,0.07999399,approach
8,0.024073355,0.17265444,-0.7437748,-0.5151917,-0.03556039,-0.3495155,-2.8339274,-0.038895514,0.009150782,0.09141751,2.8730297,-0.5202703,0.7125275,-0.23846573,0.039994832,0.04,0.00013348038,2.8246635e-05,0.07999483,approach
9,0.02942281,0.16558756,-0.7552456,-0.27487424,-0.043252937,-0.18977994,-2.8329773,0.032480016,0.011275584,0.055217855,2.8602908,-0.3530962,0.70671374,-0.16211742,0.04,0.039993115,1.8063525e-05,7.645958e-05,0.079993114,approach
10,0.03558321,0.17089531,-0.7607984,-0.12544827,-0.04954363,-0.17782478,-2.8296769,0.106343865,0.014991164,0.10359563,2.8493505,-0.3019668,0.7035362,-0.090390116,0.04,0.039997015,2.2320277e-05,0.00011694247,0.07999702,approach
11,0.042933077,0.16618054,-0.7571281,0.16941947,-0.06268127,-0.4176702,-2.8202786,0.3017118,0.017933533,0.08685608,2.8407571,-0.23755139,0.69291866,-0.2958018,0.03998701,0.04,0.0001789396,2.4922958e-05,0.079987004,approach
12,0.051431283,0.22948334,-0.748338,0.28215286,-0.079995215,-0.5026615,-2.810404,0.27107343,0.021584434,0.10568611,2.8375454,-0.09263934,0.6793514,-0.3782994,0.039992817,0.04,0.0002310719,2.8589056e-05,0.079992816,approach
13,0.062186882,0.2797549,-0.7459086,0.021305999,-0.10203017,-0.6461146,-2.8079295,0.033679727,0.026239835,0.13446271,2.8330963,-0.12823674,0.6612646,-0.50397,0.039994273,0.04,0.00021503288,5.4847605e-05,0.079994276,approach
14,0.06860228,0.19431703,-0.744775,0.060013488,-0.11797314,-0.42337132,-2.8149683,-0.27353305,0.029929075,0.104361676,2.842767,0.26058012,0.6502243,-0.30976313,0.04,0.03999279,2.3101535e-05,-5.283472e-06,0.079992786,approach
15,0.07885195,0.28173363,-0.74256706,0.0751111,-0.13607623,-0.5301149,-2.8241348,-0.2593118,0.03622058,0.17893454,2.850286,0.20542051,0.6381172,-0.3421362,0.04,0.03999818,0.000115475545,0.0001088328,0.07999818,approach
16,0.08695222,0.20418604,-0.74350333,-0.039354827,-0.1557774,-0.57641405,-2.8373756,-0.4033554,0.039659783,0.09810498,2.8585682,0.22543313,0.622115,-0.44822115,0.039997265,0.04,0.00013064402,2.7596576e-05,0.079997264,approach
17,0.093623675,0.17806584,-0.7475148,-0.13269664,-0.1752702,-0.5537069,-2.8516378,-0.39832765,0.04241284,0.07457666,2.8653946,0.18763843,0.60607266,-0.4488841,0.04,0.03999975,5.4584885e-05,-2.9579169e-05,0.079999745,approach
18,0.1025747,0.28754738,-0.73997444,0.32386917,-0.19109733,-0.4226479,-2.8602624,-0.23414092,0.046786018,0.1212425,2.8839185,0.5104563,0.59562975,-0.29492342,0.04,0.039991356,1.6998216e-05,2.6730982e-05,0.079991356,approach
19,0.11539776,0.37521622,-0.721007,0.61628014,-0.20730373,-0.4650345,-2.8650935,-0.1319387,0.051216144,0.12708375,2.9101186,0.7225927,0.583778,-0.3340041,0.04,0.03999539,1.1828582e-05,3.5061053e-05,0.079995394,approach
20,0.1254935,0.31474596,-0.69550073,0.78272414,-0.2167672,-0.24234657,-2.8690898,-0.1268478,0.05591909,0.13470659,2.9384935,0.7824532,0.5802534,-0.10148579,0.04,0.03999064,1.1915089e-05,4.9062888e-05,0.07999064,approach
21,0.14841908,0.6388457,-0.6635168,0.976923,-0.24195635,-0.78942066,-2.8732817,-0.13168497,0.062325828,0.19283974,2.9783335,1.0975558,0.5614487,-0.53058386,0.039988663,0.04,0.00017478377,1.8876597e-05,0.07998866,approach
22,0.1526408,0.119781286,-0.6433842,0.4718919,-0.25155702,-0.234392,-2.8810928,-0.22228192,0.06366605,0.034953102,2.9960465,0.49468532,0.5559606,-0.15203273,0.04,0.039995015,0.00013991889,-1.6538663e-05,0.079995014,approach
23,0.16272432,0.29658282,-0.6298661,0.37713048,-0.2638487,-0.3534446,-2.8894672,-0.23852122,0.066781394,0.08871703,3.0135937,0.48655418,0.5481236,-0.2197937,0.04,0.039993793,3.052774e-06,0.000104869,0.07999379,approach
24,0.16200814,0.0019745938,-0.61758035,0.350131,-0.26252747,0.07764716,-2.8992891,-0.28831384,0.06715053,0.0066179475,3.0338266,0.56275064,0.5503489,0.06402718,0.04,0.039990705,1.8615068e-05,6.834699e-05,0.0799907,approach
25,0.174933,0.34999678,-0.594511,0.7648044,-0.27660218,-0.45141914,-2.9056175,-0.17928402,0.06881375,0.056963194,3.068796,0.9667861,0.5400141,-0.28584626,0.039989103,0.04,0.00021292448,1.0066173e-05,0.079989105,approach
26,0.18452975,0.30679053,-0.5622884,0.99247855,-0.28678027,-0.27249834,-2.9118571,-0.19901174,0.0715769,0.083298616,3.1085513,1.0992737,0.53661275,-0.0912724,0.04,0.039995123,4.248866e-05,-5.0456285e-05,0.079995126,approach
27,0.19536842,0.3339222,-0.5275525,1.0091197,-0.29424524,-0.20584133,-2.9168084,-0.12891535,0.07613866,0.13010706,3.1472213,1.0715017,0.53752667,0.028058976,0.04,0.03999472,4.6380475e-05,5.556667e-05,0.07999472,approach
28,0.20722285,0.35374954,-0.49943763,0.7761514,-0.3013522,-0.20342907,-2.9261982,-0.3008201,0.07947967,0.09394333,3.18179,0.9586096,0.5372521,-0.004215761,0.04,0.03999335,8.289202e-06,0.00012801791,0.07999335,approach
29,0.22729269,0.56555414,-0.46732727,0.97969913,-0.31972435,-0.56547123,-2.9361334,-0.2918111,0.081505835,0.05625305,3.2303388,1.3490695,0.5313717,-0.15513055,0.039992217,0.04,0.0001792325,3.210554e-05,0.07999222,approach
30,0.22951037,0.106959194,-0.4413963,0.66953385,-0.3168733,0.12863171,-2.9412968,-0.08941851,0.08542607,0.10503874,3.2536914,0.64986944,0.5375751,0.17628305,0.04,0.03999048,5.149176e-05,6.5960034e-05,0.07999048,approach
31,0.24383965,0.4273691,-0.4144541,0.7997609,-0.32108724,-0.11664463,-2.9382167,0.124176905,0.08893553,0.09468304,3.2764492,0.62629914,0.5426218,0.14326204,0.04,0.039992493,2.3940552e-06,0.00015073399,0.07999249,approach
32,0.26983318,0.72847235,-0.38370487,0.9164614,-0.33905515,-0.5393214,-2.934784,0.07310899,0.09051694,0.035679527,3.3082004,0.8730089,0.5454743,0.08963448,0.039995044,0.04,1.5126852e-05,3.4161246e-06,0.07999504,approach
33,0.26557457,-0.15338992,-0.3720875,0.16280305,-0.33218434,0.200769,-2.936492,-0.032627355,0.09174872,0.032828372,3.3110404,0.08274754,0.54579246,0.01106393,0.039991684,0.04,-7.19698e-06,3.6746438e-05,0.07999168,approach
34,0.2641703,-0.044621956,-0.36490822,0.21792978,-0.32957515,0.07254331,-2.9367955,-0.005562541,0.092487544,0.022962783,3.3183322,0.2020452,0.5463711,0.017063677,0.039994486,0.04,0.00011805389,7.962286e-06,0.079994485,approach
35,0.26691753,0.07788769,-0.3550631,0.30491343,-0.331284,-0.04637356,-2.9368856,-0.011411042,0.092825994,0.011233844,3.3294332,0.30605137,0.5473308,0.028338786,0.03999787,0.039999705,8.6828e-05,-1.5402864e-05,0.07999757,approach
36,0.2741106,0.2045052,-0.34221044,0.39216134,-0.33728367,-0.16760372,-2.9371643,-0.017939584,0.09246276,-0.010326339,3.343987,0.4012656,0.5489294,0.04763304,0.039999887,0.03999931,4.680812e-05,-9.723763e-06,0.07999919,approach
37,0.2859138,0.3348399,-0.32641926,0.47641304,-0.34783357,-0.29727742,-2.9375672,-0.02132347,0.090858586,-0.04829316,3.3617141,0.48884603,0.5516057,0.080272086,0.04,0.039999124,6.6483126e-06,-1.909595e-06,0.07999912,approach
38,0.30879524,0.6583051,-0.30516902,0.6586041,-0.36892512,-0.59687954,-2.9383047,-0.04287006,0.08551884,-0.16579686,3.3878193,0.7194873,0.55791765,0.19140488,0.04,0.039996456,4.822761e-06,1.4228361e-05,0.07999645,approach
39,0.32781637,0.5168304,-0.283357,0.6118974,-0.3876087,-0.5293861,-2.9362047,0.08794211,0.07893133,-0.19412282,3.4064865,0.5153061,0.563803,0.17682315,0.039995305,0.04,2.502149e-05,1.1302048e-05,0.079995304,approach
40,0.35299218,0.6878039,-0.26237255,0.6097856,-0.415525,-0.7951645,-2.933966,0.0461422,0.06634002,-0.3695083,3.4249473,0.5066309,0.5734554,0.28747746,0.03999605,0.04,1.2581634e-05,2.9020441e-06,0.07999605,approach
41,0.35741544,0.15467535,-0.24697536,0.39518026,-0.4192474,-0.081203,-2.9338593,0.0107697025,0.06639332,-2.5358167e-07,3.4347994,0.27240133,0.57846946,0.14370331,0.04,0.039996676,2.2251485e-05,-8.75002e-05,0.079996675,approach
42,0.37419182,0.43362808,-0.23085186,0.49165666,-0.43785465,-0.5331366,-2.9343593,-0.037545856,0.055437025,-0.31382,3.4514766,0.4591386,0.58754426,0.26273572,0.03999609,0.04,-5.4060212e-05,4.729981e-06,0.079996094,approach
43,0.38566476,0.33753824,-0.2150145,0.4458312,-0.45064437,-0.3440484,-2.934716,-0.00082153326,0.04756692,-0.22632429,3.4646761,0.36416224,0.5973709,0.28176585,0.04,0.03999663,8.393703e-06,-3.203336e-05,0.07999663,approach
44,0.44248614,1.5921382,-0.20261112,0.32752308,-0.5232315,-2.1746194,-2.9315,0.08693384,-0.03924553,-2.6100004,3.4748647,0.27819648,0.6278579,0.8799514,0.04,0.04,0.0010110097,0.0023171604,0.08,approach
45,0.48830727,1.2257639,-0.19680615,0.11977339,-0.5957436,-2.1742995,-2.9282508,0.11146148,-0.1250955,-2.4481802,3.4776711,0.076915346,0.6505363,0.64087117,0.04,0.04,0.00036472979,0.0011430128,0.08,approach
46,0.5309426,1.2871867,-0.1925696,0.1252158,-0.6682582,-2.1743543,-2.924096,0.12361002,-0.212074,-2.610002,3.4823875,0.12941614,0.6766893,0.73759854,0.04,0.04,0.00090890925,0.0007805023,0.08,approach
47,0.5281864,-0.025532717,-0.18930677,0.102592334,-0.67787635,-0.24208076,-2.925735,-0.032712717,-0.21602587,-0.08941098,3.484236,0.051080737,0.6798007,0.090595014,0.04,0.03999507,0.00013041288,-0.00018515818,0.079995066,approach
48,0.5336775,0.14265673,-0.18387546,0.17376271,-0.6936397,-0.44614437,-2.9265547,-0.030242678,-0.2248621,-0.24877013,3.4889147,0.12782724,0.68638545,0.18655412,0.04,0.039997205,5.2218616e-05,4.4396787e-05,0.079997204,approach
49,0.52896816,-0.13146095,-0.17910197,0.13125528,-0.69723344,-0.097663954,-2.9295197,-0.088241756,-0.22356468,0.03911206,3.4936993,0.13252062,0.6850978,-0.033696443,0.04,0.039999206,6.9259586e-05,-3.7812744e-05,0.07999921,approach
50,0.53435814,0.13139565,-0.17432961,0.1365397,-0.71248585,-0.43145663,-2.9303808,-0.0157499,-0.23322104,-0.2719997,3.4984207,0.1304539,0.6914379,0.17918696,0.039999686,0.03999965,2.524852e-05,5.0149258e-05,0.079999335,approach
51,0.5390951,0.14311685,-0.16384746,0.34433648,-0.7261601,-0.37572986,-2.9287212,0.05457057,-0.24024057,-0.19461301,3.5066159,0.22541709,0.7002116,0.24877067,0.04,0.039998554,7.6827455e-05,-7.327847e-05,0.07999855,approach
52,0.6009453,1.960043,-0.117917426,1.5224625,-0.7990724,-2.173862,-2.886618,1.4274473,-0.317956,-2.344509,3.5100496,0.09221772,0.7789748,2.3593235,0.04,0.03998948,5.6488097e-06,4.1012136e-06,0.07998948,approach
53,0.6171993,0.34185144,-0.101237826,0.26658928,-0.81931764,-0.57323784,-2.8753624,0.114083104,-0.33974555,-0.6162035,3.5133734,0.0966124,0.7955369,0.47366515,0.039994072,0.03999999,-0.00037062625,0.000486954,0.07999407,approach
54,0.6190817,0.019336857,-0.09237596,0.26322475,-0.8290762,-0.2767281,-2.8778126,-0.11252259,-0.34696847,-0.19734126,3.5256798,0.34143287,0.8019819,0.18006554,0.039992314,0.04,0.00012813487,2.5145584e-05,0.07999231,approach
55,0.6290316,0.25478065,-0.07894487,0.40344337,-0.8508448,-0.5979868,-2.8725147,0.20301203,-0.37575957,-0.8137584,3.5316405,0.16675393,0.8269583,0.7094692,0.039995704,0.04,8.7511784e-05,4.0222562e-06,0.07999571,approach
56,0.6334502,0.07555453,-0.06978435,0.23949932,-0.86761165,-0.46781686,-2.8716688,-0.016499914,-0.39831308,-0.6294183,3.5399537,0.23211178,0.8427071,0.4415967,0.039996482,0.04,-5.5597433e-05,3.2562625e-06,0.07999648,approach
57,0.627951,-0.13239963,-0.06546366,0.10218241,-0.86942,-0.04220537,-2.873934,-0.050868087,-0.3943373,0.117975086,3.5442104,0.11835674,0.84104645,-0.04508028,0.039999988,0.039998103,0.00031219085,-7.352627e-05,0.07999809,approach
58,0.6298659,0.042815123,-0.057519723,0.24906795,-0.88034004,-0.29762915,-2.870998,0.09676273,-0.41193014,-0.49189293,3.5492885,0.14138529,0.85614115,0.42139873,0.04,0.03999669,9.743226e-06,2.8079541e-05,0.07999669,approach
59,0.6293246,-0.0040149894,-0.04980066,0.22225937,-0.885981,-0.14966892,-2.8696806,0.025834527,-0.42008463,-0.22509947,3.553377,0.11194576,0.86709726,0.30597463,0.04,0.039996084,4.2703767e-05,-3.3580433e-05,0.07999608,approach
60,0.646911,-0.08329846,0.018397301,2.171852,-0.934104,-0.8751222,-2.8498538,0.5668281,-0.5069569,-2.553834,3.6334713,2.2924767,0.9541197,2.6100013,0.03998631,0.039999083,0.00015974265,0.00022508328,0.079985395,approach
61,0.61279994,-1.1075972,0.090711065,2.1644206,-0.92742646,0.4365121,-2.8316023,0.46452916,-0.5849809,-1.9899228,3.7204685,2.609918,1.041099,2.609549,0.04,0.039987106,3.8644437e-05,-6.953291e-05,0.07998711,approach
62,0.57562214,-0.9864107,0.1625738,2.1683128,-0.9024881,0.7643737,-2.814767,0.44060767,-0.62014574,-0.68621576,3.7524998,1.2090768e-06,1.110632,1.6841902,0.04,0.039991487,0.0021510723,-0.000517003,0.07999149,approach
63,0.53398645,-1.1700039,0.23508802,2.1742747,-0.86701065,1.0253261,-2.7959712,0.56122637,-0.6463118,-0.5559538,3.7525003,-3.0224578e-06,1.1650846,1.3593544,0.04,0.039987344,0.0009817999,-0.00022733207,0.07998735,approach
64,0.50102735,-0.8610354,0.30732238,2.1709332,-0.83238226,0.99395865,-2.7786756,0.4999261,-0.6455324,0.11500561,3.7524989,0.00026042256,1.1976625,0.8295448,0.04,0.0399865,0.0009552556,-9.08267e-05,0.0799865,approach
65,0.49735507,-0.09123529,0.33538735,0.407006,-0.8238878,0.21637109,-2.7806246,-0.08365088,-0.6475395,-0.07985672,3.7525,8.538255e-06,1.2024499,0.14641596,0.03999835,0.0399762,-9.8018216e-05,0.00083328696,0.07997455,approach
66,0.494537,-0.07750118,0.35044473,0.44422874,-0.81631047,0.2216001,-2.782945,-0.056674063,-0.64608294,0.03934211,3.7525,3.3374857e-07,1.2069893,0.13192564,0.03999688,0.03999,7.1475144e-05,0.00019957527,0.079986885,approach
67,0.49055034,-0.13412508,0.36123556,0.26208138,-0.80998033,0.16509305,-2.7833765,0.0116273705,-0.6506006,-0.12965752,3.7525,-5.67553e-06,1.211183,0.12116888,0.03999469,0.039998498,-0.00010361872,0.00024131945,0.07999319,approach
68,0.48531,-0.16202086,0.3666073,0.120807536,-0.8050541,0.12962137,-2.7830791,0.017860854,-0.6574429,-0.19440648,3.7514524,-0.0321262,1.2159961,0.13726579,0.039994996,0.04,-1.9560157e-05,1.0682779e-05,0.07999499,approach
69,0.48260552,-0.04025388,0.3760051,0.31802344,-0.79975384,0.17040935,-2.781829,0.036668226,-0.654342,0.08874431,3.7524998,5.681068e-06,1.2201933,0.116890505,0.04,0.03999643,3.040737e-05,-0.00012870174,0.07999643,approach
70,0.4801925,-0.079427205,0.38350412,0.18760349,-0.7943493,0.14780585,-2.7818687,-0.0058938465,-0.65570116,-0.043910637,3.7525,-2.1385458e-06,1.2251253,0.14031143,0.03999883,0.039997768,-6.143083e-05,0.00012298093,0.0799966,approach
71,0.47279593,-0.24208161,0.39507097,0.3771366,-0.78763485,0.18095817,-2.7796454,0.06269619,-0.66146934,-0.15801695,3.7525005,-9.422628e-06,1.2286111,0.09791603,0.03999087,0.04,1.4249856e-05,3.7364283e-05,0.079990864,approach
72,0.4766039,0.18035975,0.3974607,-0.024228275,-0.7869782,0.040139616,-2.7819715,-0.052432593,-0.65433663,0.19488499,3.7482455,-0.11568759,1.230392,0.053198885,0.04,0.03998805,4.1449075e-05,-4.535412e-05,0.07998805,approach
73,0.4742807,-0.089304924,0.40390438,0.24031249,-0.7798465,0.19575189,-2.7773151,0.15492141,-0.6556791,-0.0374503,3.7483687,-0.001772038,1.2362651,0.16276166,0.039995015,0.03999881,-4.6713554e-05,0.00016415353,0.07999383,approach
74,0.47047302,-0.122769445,0.40802982,0.08370428,-0.77432644,0.1442926,-2.7740893,0.08250585,-0.6605843,-0.14139013,3.7481554,-0.0060365363,1.2410688,0.13472976,0.039996147,0.04,-4.8525766e-05,1.2410494e-05,0.079996146,approach
75,0.47093752,0.016684707,0.40864694,0.00079627126,-0.7737873,0.014521972,-2.7750905,-0.045472186,-0.66062367,-0.0029453232,3.7483892,0.0066737616,1.2411222,0.002187514,0.039997555,0.039999805,4.6812966e-05,7.6053957e-06,0.07999736,approach
76,0.464795,-0.18909396,0.4132528,0.16639991,-0.76806426,0.15586302,-2.7708688,0.1457106,-0.66660744,-0.16537566,3.7491717,0.018024048,1.246052,0.13682263,0.03999514,0.04,7.2643534e-06,7.3415754e-06,0.07999514,approach
77,0.45908794,-0.16885099,0.4229173,0.3144423,-0.76402336,0.11159585,-2.7669716,0.09265523,-0.66816956,-0.03917591,3.7525003,-4.2972356e-06,1.2472459,0.03125686,0.039991617,0.04,0.00015924101,1.5708938e-05,0.07999162,approach
78,0.45451513,-0.1211869,0.43000284,0.16926585,-0.7608596,0.08936371,-2.7649963,0.05706991,-0.6701049,-0.05542427,3.7525,1.0499623e-06,1.2494669,0.06346426,0.039999418,0.039996937,6.482823e-05,1.78247e-05,0.079996355,approach
79,0.42512393,-0.81381196,0.4416901,0.33224413,-0.7293467,0.9046829,-2.722975,1.476459,-0.6976463,-0.7712248,3.71998,-0.91682506,1.2871016,1.0558141,0.04,0.039997317,2.6262342e-05,-1.935926e-05,0.079997316,approach
80,0.4244111,-0.0046199253,0.4483998,0.18787622,-0.725711,0.10439787,-2.710605,0.09614605,-0.69337046,0.10913004,3.7226734,0.08377159,1.2902132,0.079587065,0.039999958,0.039994854,-3.3239494e-06,9.124703e-06,0.07999481,approach
81,0.42852208,0.116804704,0.4462594,-0.12800035,-0.72700435,-0.039471965,-2.7144613,-0.14305359,-0.6927368,0.009385345,3.721034,-0.043897342,1.288357,-0.049308874,0.039999973,0.039994523,-2.8263661e-05,0.0001635138,0.0799945,approach
82,0.42501616,-0.11853123,0.45211536,0.24898577,-0.72229344,0.12932354,-2.7103128,0.15578851,-0.69373536,-0.021480683,3.7241223,0.08090764,1.2913963,0.08279035,0.039992396,0.04,5.2581287e-05,1.9170109e-06,0.0799924,approach
83,0.42136586,-0.109479666,0.4506702,-0.12550643,-0.71915656,0.07844999,-2.7086124,0.042298183,-0.70101047,-0.21040876,3.7181628,-0.1645857,1.2955126,0.11814212,0.039998353,0.03999808,-5.2080897e-05,0.00012291268,0.07999644,approach
84,0.41799718,-0.105249815,0.4519698,0.08563582,-0.71755826,0.043088336,-2.707064,0.03409155,-0.7038045,-0.07548231,3.7203696,0.0602053,1.2964635,0.025119279,0.039994933,0.039999988,6.359176e-05,1.285661e-06,0.07999492,approach
