timestep,joint1_position,joint1_velocity,joint2_position,joint2_velocity,joint3_position,joint3_velocity,joint4_position,joint4_velocity,joint5_position,joint5_velocity,joint6_position,joint6_velocity,joint7_position,joint7_velocity,finger1_position,finger2_position,finger1_velocity,finger2_velocity,gripper_width,phase
0,0.0,0.0,-0.569,0.0,0.0,0.0,-2.81,0.0,0.0,0.0,3.037,0.0,0.741,0.0,0.04,0.04,0.0,0.0,0.08,unknown
1,-0.0064067743,-0.14582947,-0.59512657,-0.98368055,0.007245121,0.21849559,-2.8152487,-0.11127079,-0.0010942399,-0.039178684,3.003979,-0.90871626,0.7463783,0.14780141,0.04,0.03999585,2.7699745e-05,-4.8033857e-05,0.07999585,unknown
2,-0.0051793368,0.034622226,-0.6239739,-0.7790743,0.008850581,0.036563642,-2.824873,-0.3254203,0.0005110343,0.04577487,2.9945378,-0.26772964,0.7493993,0.083181776,0.039999027,0.039998356,-4.072884e-05,0.00010187803,0.07999738,unknown
3,-0.0028955592,0.037240233,-0.6395882,-0.3731987,0.006411752,-0.09264825,-2.8199787,0.2497019,0.00045487247,-0.0009705459,2.972331,-0.6088194,0.74642944,-0.0822628,0.039991524,0.04,2.7165133e-05,6.599507e-06,0.07999152,unknown
4,-0.0063881897,-0.037672423,-0.6597135,-0.6287625,0.014347071,0.2771312,-2.817869,0.027287742,0.00045217623,-0.0058793505,2.9476604,-0.6824958,0.75424796,0.21516287,0.04,0.039983757,6.942243e-06,0.00010624589,0.079983756,unknown
5,-0.011330448,-0.13803169,-0.68688554,-0.8175786,0.02461869,0.27701545,-2.8216243,-0.12329611,-0.001432981,-0.050152883,2.9212666,-0.7326937,0.76206434,0.21540715,0.039994568,0.039997146,5.51201e-05,0.00013478709,0.07999171,unknown
6,-0.014269413,-0.09529471,-0.7141511,-0.7560541,0.0290018,0.1020558,-2.833371,-0.3962717,-0.0047052903,-0.08456502,2.9076767,-0.38566002,0.76283574,0.022893071,0.03999131,0.04,0.0001517598,1.9763937e-05,0.07999131,unknown
7,-0.019257091,-0.15417862,-0.73281395,-0.47315624,0.031903654,0.069598936,-2.8397038,-0.13486947,-0.009501871,-0.13044776,2.8904305,-0.47730857,0.76123375,-0.041758753,0.039991222,0.04,0.00017959536,6.9181326e-05,0.07999122,unknown
8,-0.023470491,-0.11065735,-0.7372407,-0.038211536,0.035291895,0.10373993,-2.8335285,0.24470039,-0.013736459,-0.1196927,2.8754017,-0.4109792,0.7601371,-0.027673403,0.039999865,0.03999794,5.61995e-05,9.441236e-05,0.07999781,unknown
9,-0.03688745,-0.3514352,-0.7405215,-0.09347885,0.05063728,0.47863266,-2.8287122,0.10496165,-0.022324188,-0.24002255,2.860394,-0.41717252,0.7685526,0.2386685,0.04,0.039995413,9.490904e-05,0.0001743525,0.07999541,unknown
10,-0.046026096,-0.26041454,-0.7462292,-0.16229872,0.061697472,0.29444957,-2.8293982,-0.046691533,-0.030699952,-0.2260089,2.8441358,-0.45178983,0.7708911,0.07106032,0.039997183,0.04,7.24205e-05,0.00023945434,0.07999718,unknown
11,-0.058174998,-0.31406698,-0.74274266,0.18837717,0.079479285,0.54689234,-2.8292248,-0.0021469248,-0.039118342,-0.23537199,2.84158,-0.073497504,0.7813308,0.2965727,0.04,0.0399946,7.954496e-05,0.00023775546,0.079994604,unknown
12,-0.06666653,-0.2259296,-0.7518604,-0.35925508,0.09423681,0.41262054,-2.8419204,-0.428497,-0.047126833,-0.21549456,2.8310716,-0.29533768,0.7874738,0.17780194,0.039997917,0.04,4.9022477e-05,0.00027339396,0.07999791,unknown
13,-0.079160996,-0.37978333,-0.74972755,0.1952962,0.109295785,0.41713843,-2.8472316,-0.10447752,-0.05836474,-0.30835164,2.8268783,-0.114826225,0.79186034,0.13228753,0.03999364,0.04,0.000166112,0.00036296324,0.079993635,unknown
14,-0.08916937,-0.26970056,-0.7465398,0.08250683,0.1216449,0.356574,-2.8527417,-0.1583718,-0.067374505,-0.24858221,2.8192532,-0.20950368,0.7951524,0.100710675,0.03999937,0.04,2.7304157e-05,0.00029200432,0.07999937,unknown
15,-0.09412637,-0.123765305,-0.75456524,-0.2918399,0.12989455,0.23740046,-2.8652606,-0.38199833,-0.07472365,-0.20093188,2.8044586,-0.40892375,0.79476947,-0.0023597619,0.03999904,0.04,-5.7895108e-05,0.0003352873,0.079999045,unknown
16,-0.10902767,-0.45584676,-0.74716306,0.37847447,0.14516212,0.4437505,-2.8727791,-0.20500302,-0.08651709,-0.3243086,2.812393,0.21873695,0.8015442,0.20037034,0.039996933,0.04,0.00019066807,0.00025266432,0.07999693,unknown
17,-0.120202266,-0.29089192,-0.74329215,0.06836068,0.1585585,0.39965048,-2.8868296,-0.4367419,-0.095999606,-0.2618293,2.8145392,0.060121365,0.80666053,0.15336867,0.03999983,0.04,-1.0151023e-05,0.00025798383,0.079999834,unknown
18,-0.13307634,-0.36529,-0.7260925,0.6320356,0.1781106,0.5900439,-2.8962765,-0.25109217,-0.1064224,-0.2934394,2.8339927,0.539193,0.816787,0.29393676,0.04,0.03999888,4.6727604e-05,0.00033909053,0.07999888,unknown
19,-0.14916496,-0.44008273,-0.70297587,0.69622636,0.20622803,0.8383813,-2.902313,-0.15670842,-0.114205815,-0.2209714,2.849198,0.4202537,0.8389131,0.6255591,0.04,0.039996672,9.0135086e-07,0.00020968236,0.079996675,unknown
20,-0.15983096,-0.34419978,-0.68384707,0.5350407,0.22258188,0.42424396,-2.9129474,-0.3243108,-0.12258377,-0.23173016,2.8685467,0.5370362,0.8462737,0.21440732,0.03998506,0.04,6.9943446e-05,0.00015767159,0.07998506,unknown
21,-0.16670755,-0.15959625,-0.6674628,0.45578972,0.23850001,0.47963014,-2.9208455,-0.18507648,-0.12561172,-0.0924026,2.8816097,0.36781982,0.858376,0.33952978,0.039999656,0.03999274,-1.986245e-05,0.0002260013,0.0799924,unknown
22,-0.17909256,-0.3366017,-0.6522909,0.44103986,0.26416975,0.76449263,-2.9276772,-0.2009091,-0.13155438,-0.17263253,2.9012814,0.54435873,0.8785494,0.5662632,0.04,0.039993208,3.639866e-06,0.0002275516,0.0799932,unknown
23,-0.18851374,-0.30044016,-0.6273872,0.79834265,0.28560698,0.59434927,-2.932281,-0.12954551,-0.13555738,-0.112565614,2.9313936,0.8328123,0.89464056,0.44888723,0.03999635,0.03999997,-0.00015430819,0.0002811383,0.07999632,unknown
24,-0.20214999,-0.42553398,-0.60248035,0.69917727,0.30372337,0.49334818,-2.9360864,-0.09864667,-0.14048958,-0.1390937,2.9592142,0.7711338,0.90771025,0.36469835,0.039986223,0.04,8.93565e-05,5.006229e-06,0.07998622,unknown
25,-0.22264442,-0.5948564,-0.5712887,0.95972294,0.32851118,0.7411418,-2.9407241,-0.1661883,-0.14744371,-0.20192057,3.005127,1.2706838,0.9256388,0.5002025,0.04,0.039993707,-1.8680912e-06,0.0002628867,0.07999371,unknown
26,-0.24707584,-0.7527245,-0.5308676,1.2037569,0.354096,0.7177651,-2.9378352,0.13399935,-0.15542912,-0.22737786,3.0489728,1.2118185,0.93975425,0.39185697,0.03999401,0.04,-7.9934835e-05,6.209627e-05,0.07999401,unknown
27,-0.2640255,-0.46234676,-0.50385463,0.6635528,0.37178668,0.50606024,-2.939949,-0.09053923,-0.1580778,-0.07951876,3.081159,0.8938349,0.9521016,0.3378813,0.03999704,0.04,0.00013526478,8.344299e-05,0.07999704,unknown
28,-0.26974982,-0.17667417,-0.48146713,0.6137867,0.37726456,0.11886651,-2.9373906,0.129219,-0.1582173,-0.0053200573,3.1037493,0.62920773,0.9553985,0.08351817,0.039994035,0.04,2.1257207e-05,9.0745554e-05,0.07999404,unknown
29,-0.29069728,-0.58567744,-0.45570788,0.7757655,0.39862216,0.62962645,-2.930955,0.16820389,-0.15974854,-0.042420868,3.1332588,0.8137687,0.96978045,0.3918994,0.04,0.039998997,5.3578242e-05,0.00029300665,0.079999,unknown
30,-0.30805993,-0.48459992,-0.43086025,0.6996932,0.41890764,0.57987154,-2.9296827,-0.0071211364,-0.15895426,0.021729555,3.1668606,0.9312783,0.9839899,0.38324174,0.04,0.04,4.0402254e-05,0.00033876536,0.08,unknown
31,-0.3248982,-0.4488302,-0.41614637,0.36721814,0.4410064,0.6488843,-2.9379458,-0.29813993,-0.15802364,0.025989072,3.196378,0.81962895,0.9973646,0.36257967,0.04,0.04,5.193294e-05,8.028663e-05,0.08,unknown
32,-0.35271144,-0.8374497,-0.39350483,0.7159419,0.47270763,0.8958265,-2.937779,0.060625136,-0.16015188,-0.048096612,3.2265656,0.83634996,1.0067801,0.2501754,0.039996065,0.04,-0.00013931928,5.8993974e-05,0.079996064,unknown
33,-0.35737568,-0.13320059,-0.3848189,0.11516818,0.47722286,0.09812004,-2.938932,-0.015626658,-0.16030145,-0.005579465,3.2311578,0.13022317,1.0074177,0.0143317245,0.039987825,0.039999984,0.0002292167,-1.3747037e-06,0.07998781,unknown
34,-0.36575714,-0.23648958,-0.37896574,0.18073061,0.48426756,0.19508494,-2.9386804,0.007486734,-0.160701,-0.010230142,3.2405865,0.26159662,1.008585,0.030582473,0.039994232,0.03999968,9.137635e-05,3.964664e-05,0.07999391,unknown
35,-0.37805155,-0.34966928,-0.37046704,0.26185122,0.49484873,0.2935754,-2.938199,0.004845423,-0.1610702,-0.007397561,3.2542841,0.37893343,1.0100822,0.038259715,0.03999686,0.04,2.1013646e-05,1.5681271e-05,0.079996854,unknown
36,-0.39459896,-0.47076827,-0.35925034,0.33944875,0.5092202,0.40074286,-2.9378011,0.001342573,-0.16106212,0.0051226737,3.27189,0.48712236,1.0115911,0.036382176,0.039998073,0.04,-6.7595774e-06,2.6688185e-05,0.079998076,unknown
37,-0.41575146,-0.6015282,-0.34547445,0.4121308,0.52784336,0.5217514,-2.937464,-0.00059710874,-0.16019154,0.032154087,3.2931044,0.5870371,1.0126534,0.020890843,0.03999871,0.04,-1.82175e-05,3.964709e-05,0.07999871,unknown
38,-0.4406937,-0.72964936,-0.3282198,0.517607,0.5482931,0.5639465,-2.9356992,0.0509776,-0.15914242,0.041593514,3.3153527,0.61428803,1.0105783,-0.0689375,0.03999534,0.04,-2.4708543e-05,3.6157326e-05,0.079995334,unknown
39,-0.46792248,-0.73238283,-0.31348175,0.39747256,0.5731914,0.7104238,-2.9342427,0.03843153,-0.15400437,0.15169026,3.335321,0.5537708,1.0106595,-0.009892096,0.04,0.03999675,1.7032902e-05,3.011374e-05,0.07999675,unknown
40,-0.4942751,-0.7719362,-0.2959928,0.53752345,0.59673876,0.6507067,-2.9342048,-0.026636258,-0.14984338,0.13132244,3.35915,0.6569065,1.0057344,-0.15252134,0.03999621,0.04,-6.228531e-05,3.9219114e-05,0.07999621,unknown
41,-0.5100662,-0.4131157,-0.2850788,0.2526131,0.6101054,0.37461963,-2.936417,-0.057907455,-0.145408,0.12452657,3.3723469,0.36756298,1.0037429,-0.062476445,0.04,0.03999826,2.8531489e-05,-6.0552884e-05,0.079998255,unknown
42,-0.53425974,-0.7016974,-0.27151984,0.4285423,0.6319934,0.60361266,-2.9366512,-0.008253359,-0.13879476,0.19716679,3.391556,0.5303765,0.99628013,-0.21906234,0.039997082,0.04,-6.548888e-05,1.937812e-05,0.07999708,unknown
43,-0.55322766,-0.50436544,-0.2590278,0.3399176,0.649693,0.49587163,-2.9374087,-0.023473965,-0.13134828,0.21083038,3.4074073,0.43999854,0.9914642,-0.14282335,0.04,0.03999688,1.8898034e-05,2.401371e-05,0.079996884,unknown
44,-0.5202998,0.55267525,-0.23596324,0.72567683,0.58059764,-2.1286185,-2.9445565,-0.26395354,-0.17902681,-1.4084965,3.4398866,0.8889364,0.9727872,-0.46210966,0.03995619,0.04,0.00016567587,0.00041185127,0.07995619,unknown
45,-0.5037819,0.45356402,-0.21183266,0.67159384,0.5082369,-2.1727827,-2.944569,0.06698837,-0.23552324,-1.6455135,3.456204,0.43674752,0.96663946,-0.110429816,0.03997183,0.04,0.000104310755,4.3592077e-05,0.07997183,unknown
46,-0.4896983,0.42625394,-0.19106345,0.5809705,0.43565887,-2.1745913,-2.9437609,-0.0006092179,-0.3102962,-2.1658375,3.4754963,0.5231034,0.96966535,0.14832361,0.03999404,0.03999758,-9.2302645e-05,0.0006554938,0.079991624,unknown
47,-0.52139974,-0.6239688,-0.17504567,0.4372449,0.44160762,0.2504937,-2.9455843,-0.040983714,-0.29717943,0.37716264,3.492457,0.46529037,0.954327,-0.42360553,0.04,0.03997955,0.00045386096,-0.0004192979,0.079979554,unknown
48,-0.53157705,-0.19409181,-0.16633086,0.19202298,0.44503683,0.11222894,-2.9451466,0.03643823,-0.2893614,0.20663927,3.498157,0.15983054,0.9510971,-0.08741314,0.04,0.03997624,0.00011925326,0.00016407674,0.07997624,unknown
