timestep,joint1_position,joint1_velocity,joint2_position,joint2_velocity,joint3_position,joint3_velocity,joint4_position,joint4_velocity,joint5_position,joint5_velocity,joint6_position,joint6_velocity,joint7_position,joint7_velocity,finger1_position,finger2_position,finger1_velocity,finger2_velocity,gripper_width,phase
0,0.0,0.0,-0.569,0.0,0.0,0.0,-2.81,0.0,0.0,0.0,3.037,0.0,0.741,0.0,0.04,0.04,0.0,0.0,0.08,unknown
1,-0.00077223405,0.0014405823,-0.5990758,-1.108588,0.0014018143,0.05226043,-2.8263686,-0.5155544,0.00037405608,0.0046038125,3.0129795,-0.66923726,0.7421322,0.031326566,0.04,0.039995886,8.8388315e-06,-2.727014e-05,0.079995885,unknown
2,0.00075775734,0.029118503,-0.63254637,-0.9312986,0.00039448577,-0.041030277,-2.8390596,-0.31814826,0.000988618,0.01565117,2.99299,-0.5566645,0.7415191,-0.01707531,0.03999557,0.039999995,8.951814e-06,8.383998e-07,0.079995565,unknown
3,-0.0054982663,-0.15706478,-0.6518281,-0.4565709,0.00814385,0.23935495,-2.8392944,0.05269993,-0.0005872059,-0.045746863,2.9762807,-0.46072608,0.74803543,0.1799961,0.04,0.039996058,1.0207332e-05,3.1560223e-05,0.07999606,unknown
4,-0.013342342,-0.22949262,-0.6799892,-0.90736276,0.014580145,0.1599951,-2.8440766,-0.15070425,-0.005042405,-0.12313256,2.9502246,-0.7215217,0.7498659,0.05131345,0.0399931,0.04,0.0001598769,4.3970413e-05,0.0799931,unknown
5,-0.022876162,-0.24638848,-0.70435786,-0.6472315,0.023535695,0.26231107,-2.8416939,0.12165288,-0.010289782,-0.14681825,2.9219286,-0.7794042,0.75397515,0.11435379,0.04,0.039997134,5.2200685e-05,5.9744678e-05,0.07999714,unknown
6,-0.033738006,-0.31102055,-0.72394997,-0.52837366,0.032199603,0.23320034,-2.8408284,-0.005413045,-0.017467724,-0.19454478,2.9031982,-0.52019846,0.7564832,0.072341144,0.039998267,0.04,0.00020665309,6.612478e-05,0.07999827,unknown
7,-0.047850788,-0.37705967,-0.741673,-0.5098927,0.044662725,0.3661766,-2.8393652,0.060618397,-0.025983412,-0.23812816,2.8853638,-0.49063155,0.7617555,0.14912027,0.04,0.0399999,0.00016023371,8.205503e-05,0.079999894,unknown
8,-0.067558415,-0.55630684,-0.750944,-0.19383241,0.062103897,0.5008469,-2.835308,0.10772218,-0.038624845,-0.3476363,2.877448,-0.22027466,0.7688531,0.20389856,0.04,0.04,0.00034804808,0.00021934677,0.08,unknown
9,-0.08342025,-0.4111446,-0.76889074,-0.59089655,0.078049384,0.46043065,-2.840711,-0.20586498,-0.04900054,-0.28243354,2.8606484,-0.46959755,0.77564657,0.1938028,0.04,0.04,0.00019902608,0.00019545038,0.08,unknown
10,-0.098848596,-0.4699188,-0.77696675,-0.12584262,0.08889775,0.2738365,-2.8440912,-0.090286314,-0.06194739,-0.35198054,2.860294,-0.0104570575,0.7748719,-0.011989992,0.039997406,0.04,0.0004982703,0.0002875125,0.079997405,unknown
11,-0.11558494,-0.49247295,-0.7859045,-0.27618605,0.09422266,0.13066244,-2.8517466,-0.24679433,-0.07560377,-0.37109223,2.8561738,-0.11381638,0.76947904,-0.13839021,0.0399989,0.04,0.00049200834,0.0002760468,0.079998896,unknown
12,-0.1408588,-0.66313684,-0.78597283,0.069931276,0.11665884,0.7242106,-2.8509393,0.0690604,-0.09047718,-0.42053226,2.8529599,-0.087333135,0.78057086,0.32016155,0.04,0.039991345,0.0004061066,0.0005269946,0.07999134,unknown
13,-0.15872845,-0.5431735,-0.7857771,0.020976389,0.128021,0.27544293,-2.8617427,-0.4117242,-0.107273065,-0.4532349,2.8682487,0.41717422,0.7762781,-0.10276429,0.04,0.04,0.00065354264,0.0004613177,0.08,unknown
14,-0.18049848,-0.59709984,-0.77875936,0.25947106,0.1461168,0.5634617,-2.8709204,-0.24177016,-0.12015536,-0.35736355,2.8833838,0.41940194,0.78433293,0.23775819,0.04,0.039997987,0.00020797779,0.0002498502,0.07999799,unknown
15,-0.2012898,-0.5740823,-0.7740294,0.11775362,0.16732499,0.6256834,-2.8810544,-0.30069235,-0.13318726,-0.36090624,2.8921227,0.2407399,0.7928902,0.25223672,0.04,0.04,0.00017748195,0.00033655897,0.08,unknown
16,-0.21882395,-0.52178544,-0.769611,0.138834,0.18155403,0.3761359,-2.8879783,-0.16353092,-0.14677651,-0.37257653,2.8941858,0.059822395,0.7924367,0.0023067908,0.039994027,0.04,0.00026730564,0.00047760858,0.07999402,unknown
17,-0.24004978,-0.59369093,-0.7622471,0.25822687,0.20019953,0.5690601,-2.8973744,-0.31047642,-0.1605538,-0.38139978,2.9072702,0.359478,0.798351,0.17964384,0.04,0.04,0.00016879047,0.00029752922,0.08,unknown
