timestep,joint1_position,joint1_velocity,joint2_position,joint2_velocity,joint3_position,joint3_velocity,joint4_position,joint4_velocity,joint5_position,joint5_velocity,joint6_position,joint6_velocity,joint7_position,joint7_velocity,finger1_position,finger2_position,finger1_velocity,finger2_velocity,gripper_width,phase
0,0.0,0.0,-0.569,0.0,0.0,0.0,-2.81,0.0,0.0,0.0,3.037,0.0,0.741,0.0,0.04,0.04,0.0,0.0,0.08,unknown
1,0.0017908306,0.07178627,-0.58753043,-0.7040957,0.0002456573,0.018234951,-2.810166,0.05526368,0.0015907476,0.036726255,3.0066655,-0.8324408,0.74178684,0.020861648,0.04,0.03999542,1.4618996e-05,3.6663485e-05,0.07999542,unknown
2,0.00056483096,-0.040013388,-0.6137631,-0.76055425,0.0025057183,0.05976515,-2.814697,-0.16756834,0.0007382586,-0.023927517,2.9869435,-0.548656,0.74296135,0.03252676,0.039996706,0.039999995,5.1012208e-05,-2.8997434e-07,0.079996705,unknown
3,0.00679337,0.13490927,-0.6541384,-1.2806884,-0.0067109903,-0.28916815,-2.8256042,-0.29744726,0.001845935,0.027785325,2.951725,-0.97950554,0.7340652,-0.24359977,0.039988767,0.04,9.704657e-05,2.5940471e-05,0.07998876,unknown
4,0.007069977,-0.006068504,-0.68085176,-0.62460816,-0.012392573,-0.15567602,-2.8255048,0.05212688,0.0023400653,0.013375874,2.92842,-0.644599,0.73092026,-0.08637857,0.03999305,0.04,0.0001673575,-1.44010755e-05,0.079993054,unknown
5,0.015398582,0.2149403,-0.6981285,-0.4615023,-0.026859911,-0.4292044,-2.8245857,0.018237283,0.004419462,0.057618253,2.915477,-0.360184,0.7181453,-0.35318944,0.039994564,0.04,0.00012220057,1.5205516e-05,0.07999456,unknown
6,0.012758814,-0.01219771,-0.7133466,-0.4291689,-0.022349177,0.21139054,-2.8239436,0.010970178,0.006640218,0.05418208,2.900738,-0.40787196,0.7269501,0.2419234,0.04,0.039979853,3.4506073e-05,0.00019501349,0.07997985,unknown
7,0.019023323,0.1634982,-0.72832894,-0.42254657,-0.02384958,-0.07233812,-2.8277917,-0.14033134,0.010390808,0.10775163,2.891317,-0.26410234,0.7272762,0.0070615066,0.039995044,0.039995566,-1.5687561e-05,0.00027142762,0.07999061,unknown
8,0.02172342,0.061289266,-0.742968,-0.42282048,-0.02571436,-0.061546233,-2.8320568,-0.11194986,0.01286087,0.06768707,2.8814049,-0.27421847,0.7277582,0.011826789,0.03999273,0.04,9.7105796e-05,1.4748495e-05,0.07999273,unknown
9,0.028122487,0.15479872,-0.74913263,-0.10195565,-0.035056975,-0.29873678,-2.8318968,0.018003684,0.015853457,0.08844269,2.874013,-0.2068313,0.7211544,-0.18483214,0.039988894,0.04,0.00015344731,2.2536196e-05,0.0799889,unknown
10,0.033641037,0.13759018,-0.7499297,-0.0006297932,-0.046771415,-0.3448118,-2.8264625,0.19263478,0.019677702,0.10787576,2.8602896,-0.37772977,0.7143914,-0.18956676,0.039991986,0.04,0.00024043742,7.922831e-06,0.07999198,unknown
11,0.042023588,0.28442952,-0.7521835,-0.064062126,-0.05369275,-0.14790197,-2.8292558,-0.15347542,0.026502341,0.18697849,2.8607774,0.008978413,0.7140347,-0.015416487,0.04,0.039983645,8.6763044e-05,0.0002865871,0.079983644,unknown
12,0.05154971,0.23682718,-0.75407445,-0.053220615,-0.06321676,-0.3016645,-2.8303716,0.005981149,0.030805588,0.120593406,2.852908,-0.21589023,0.7067361,-0.20573206,0.03999109,0.04,0.000102078586,5.191836e-05,0.07999109,unknown
13,0.058335006,0.18807527,-0.7517696,0.10799976,-0.07182316,-0.24001765,-2.8273845,0.09901908,0.034649655,0.10797472,2.8446035,-0.22975853,0.70177424,-0.14071026,0.039996896,0.04,0.0001298039,1.6553031e-05,0.0799969,unknown
14,0.06896654,0.25247806,-0.75233585,-0.04223768,-0.09101191,-0.5991605,-2.8298478,-0.098449945,0.037385646,0.08084368,2.8435688,-0.032379422,0.6831494,-0.5182194,0.039985403,0.04,0.00024382384,7.077196e-05,0.0799854,unknown
15,0.0768101,0.21345271,-0.7576354,-0.17193739,-0.11012318,-0.53339416,-2.837302,-0.23684493,0.039657574,0.063378684,2.841719,-0.055592448,0.6661364,-0.473412,0.03999615,0.03999861,0.00022171548,-8.825259e-06,0.07999476,unknown
16,0.086877614,0.28067735,-0.7514562,0.2895225,-0.13045612,-0.5873074,-2.841258,-0.106864184,0.04413476,0.13006331,2.850959,0.25091788,0.65072006,-0.432404,0.0399981,0.04,0.00016659481,-2.4125598e-05,0.0799981,unknown
17,0.09976378,0.3808803,-0.73906565,0.39495128,-0.15087064,-0.57162386,-2.847668,-0.21493843,0.048656538,0.12907404,2.8681798,0.4711962,0.6338823,-0.47307795,0.04,0.039994925,4.2534582e-05,4.7389498e-05,0.079994924,unknown
18,0.11063021,0.3064928,-0.72317314,0.48581573,-0.1682649,-0.49545246,-2.8541522,-0.18237129,0.053793203,0.14733355,2.887422,0.5314791,0.6221899,-0.3305938,0.04,0.039998867,0.00010311681,-1.6056732e-05,0.079998866,unknown
19,0.12899163,0.5140203,-0.70064133,0.7066757,-0.19480519,-0.7966333,-2.8572578,-0.076804735,0.06079312,0.20553757,2.9106536,0.6377127,0.6023525,-0.5600292,0.039995536,0.04,0.00014967899,4.2881165e-05,0.079995535,unknown
20,0.13705988,0.24785289,-0.69379324,0.07877699,-0.20926557,-0.36813945,-2.8746061,-0.5780562,0.06585274,0.1383818,2.9306345,0.55278045,0.59434587,-0.2279542,0.04,0.039987475,5.65894e-05,0.0001027563,0.079987474,unknown
21,0.14837892,0.33393258,-0.67531633,0.64698476,-0.22314002,-0.3953437,-2.8784363,-0.009114327,0.06988753,0.11244342,2.9502816,0.5470817,0.58520603,-0.25782928,0.039998036,0.039996125,9.417682e-05,3.5110264e-05,0.07999416,unknown
22,0.16586296,0.5012581,-0.6504175,0.76739293,-0.24394943,-0.6207794,-2.8853748,-0.26499897,0.0747183,0.1457998,2.9854834,0.96858907,0.5699916,-0.42705378,0.039997272,0.039999954,0.00011998346,-4.20576e-05,0.07999723,unknown
23,0.17946707,0.37998688,-0.6254086,0.7189177,-0.2641368,-0.5893137,-2.8952174,-0.28373548,0.07781605,0.09247579,3.0192912,0.93850285,0.55566955,-0.40005723,0.03999457,0.04,0.00016127624,-3.6550962e-05,0.079994574,unknown
24,0.18585768,0.21248221,-0.6086842,0.40455028,-0.27253294,-0.19455796,-2.90212,-0.15370074,0.08046726,0.06674995,3.0371985,0.5012653,0.55196005,-0.10342369,0.04,0.039988127,1.1140714e-05,9.637615e-05,0.07998812,unknown
25,0.19442828,0.2533443,-0.591791,0.5342631,-0.28050047,-0.2288968,-2.9137485,-0.39537364,0.08244837,0.059932884,3.0710754,0.936783,0.5472128,-0.13012259,0.04,0.03999287,1.7118055e-05,7.045641e-05,0.07999287,unknown
26,0.20724173,0.35829338,-0.56771773,0.74397415,-0.2946604,-0.42765063,-2.9214475,-0.18715626,0.08450816,0.06465644,3.1019373,0.8563105,0.5388233,-0.23177028,0.039993677,0.04,0.000120599696,2.0158292e-05,0.07999368,unknown
27,0.21432526,0.2133305,-0.5462576,0.59520984,-0.30334675,-0.23737954,-2.9307182,-0.27984068,0.08661113,0.06045988,3.129875,0.7763332,0.53577256,-0.08243723,0.04,0.03999715,2.4411647e-05,-9.00367e-06,0.07999715,unknown
28,0.22625306,0.37365207,-0.5243022,0.6577252,-0.31272042,-0.2585517,-2.9428546,-0.37143537,0.09002374,0.09368716,3.168785,1.0810517,0.53398025,-0.046815414,0.04,0.03999216,1.7000899e-05,6.159978e-05,0.07999216,unknown
29,0.23783465,0.33707064,-0.49133128,1.0296658,-0.32133526,-0.24877653,-2.9475849,-0.09361337,0.09165141,0.05015839,3.2080002,1.087153,0.532012,-0.04744018,0.03999632,0.04,0.00022836211,1.9388632e-05,0.07999632,unknown
30,0.23588413,-0.0067975884,-0.4676714,0.58296055,-0.30995598,0.3796599,-2.9523542,-0.124648616,0.09558931,0.104131885,3.2289164,0.5807351,0.54148984,0.26729792,0.04,0.039985973,3.425682e-05,0.00015919757,0.079985976,unknown
31,0.2586909,0.6302931,-0.4418463,0.7978585,-0.3232444,-0.42293718,-2.9550316,-0.08453833,0.09828173,0.07339115,3.2633507,0.9512637,0.5419729,0.019395696,0.039992858,0.04,-1.2690022e-06,3.2041078e-07,0.07999286,unknown
32,0.26468343,0.1044293,-0.43055108,0.20394844,-0.33068186,-0.23632668,-2.9647903,-0.30153903,0.09610177,-0.059104595,3.2787223,0.42957714,0.5370377,-0.13291042,0.039983746,0.04,8.277559e-05,5.3770917e-05,0.07998374,unknown
33,0.26609483,0.061326694,-0.42494628,0.13386972,-0.3330877,-0.04898576,-2.9677837,-0.015460934,0.09646778,0.006939229,3.2830284,0.122540236,0.53723013,0.006524163,0.039996486,0.039995745,0.00014207013,2.332882e-05,0.079992235,unknown
34,0.27014017,0.11700256,-0.41806367,0.21602513,-0.33632916,-0.08838851,-2.968095,-0.013548279,0.096715,0.0071651996,3.2918549,0.24382634,0.53764284,0.012507267,0.039998647,0.03999746,6.123119e-05,2.4714478e-05,0.07999611,unknown
35,0.27619198,0.17368971,-0.40793976,0.31463435,-0.3411421,-0.1330104,-2.9686136,-0.025065009,0.09695856,0.007308351,3.3046448,0.35280213,0.53837115,0.022192892,0.039999835,0.03999837,4.7330574e-05,2.9666326e-06,0.07999821,unknown
