timestep,joint1_position,joint1_velocity,joint2_position,joint2_velocity,joint3_position,joint3_velocity,joint4_position,joint4_velocity,joint5_position,joint5_velocity,joint6_position,joint6_velocity,joint7_position,joint7_velocity,finger1_position,finger2_position,finger1_velocity,finger2_velocity,gripper_width,phase
0,0.0,0.0,-0.569,0.0,0.0,0.0,-2.81,0.0,0.0,0.0,3.037,0.0,0.741,0.0,0.04,0.04,0.0,0.0,0.08,approach
1,-0.0017613852,-0.04284797,-0.5874882,-0.6925045,0.0013183638,0.038077723,-2.813786,-0.081706226,0.00017594869,0.00038108934,3.0115051,-0.7020196,0.7423107,0.036059875,0.04,0.039999332,5.0744442e-05,-2.917483e-05,0.07999933,approach
2,-0.0059982175,-0.089537874,-0.61938655,-0.97657204,0.0069373716,0.1769173,-2.8258348,-0.38911498,-0.0012638406,-0.043341912,2.992748,-0.5247779,0.7461766,0.10654599,0.04,0.039993726,4.810426e-06,1.159865e-05,0.079993725,approach
3,-0.007456374,-0.04518826,-0.6591014,-1.2056755,0.009904784,0.066687755,-2.8346946,-0.1814004,-0.0017683636,-0.016421884,2.9576497,-0.9715341,0.7478351,0.045197386,0.039995458,0.04,1.8650608e-05,2.5532754e-06,0.07999545,approach
4,-0.011663089,-0.09922679,-0.6847628,-0.6088686,0.017194865,0.2226906,-2.8342147,0.035086084,-0.0032142801,-0.041187588,2.940247,-0.4821723,0.75385445,0.16591598,0.04,0.03999498,9.892222e-06,6.129785e-05,0.07999498,approach
5,-0.014944162,-0.09622408,-0.7047656,-0.56195253,0.022974629,0.1499494,-2.8331037,0.030680321,-0.004814539,-0.04162885,2.9204943,-0.54728544,0.7577424,0.1078069,0.039996587,0.04,2.8887007e-05,5.4976904e-06,0.079996586,approach
6,-0.01785534,-0.0917703,-0.724183,-0.5521857,0.025554828,0.058269005,-2.8373992,-0.16099648,-0.0056851152,-0.02131803,2.9117131,-0.24655342,0.7602605,0.07019809,0.039993986,0.04,9.8154575e-05,1.4399591e-05,0.079993986,approach
7,-0.017243786,0.03411202,-0.74188715,-0.50125766,0.026805274,0.04197178,-2.8391771,-0.020103985,-0.0031433478,0.0696493,2.8945992,-0.47275537,0.76448864,0.11570675,0.04,0.03999523,2.454336e-05,9.762684e-05,0.07999523,approach
8,-0.014288247,0.07112882,-0.7625085,-0.6288322,0.024290955,-0.08836647,-2.835835,0.1509957,-0.0020744894,0.02577073,2.8656535,-0.7943577,0.76203877,-0.06785115,0.039995253,0.04,3.275093e-05,5.5027135e-06,0.07999525,approach
9,-0.016583892,-0.11047511,-0.79088676,-0.8584669,0.018068181,-0.21143296,-2.8393104,-0.1423845,-0.004045387,-0.05139422,2.8428926,-0.63302034,0.75613713,-0.16152601,0.03998257,0.04,0.0003408085,1.0548932e-05,0.079982564,approach
10,-0.02409803,-0.13710935,-0.8034787,-0.22539437,0.028972132,0.41024646,-2.835693,0.12494971,-0.0040233205,-0.00801686,2.8318772,-0.30589956,0.7704604,0.39529446,0.04,0.039972834,3.4685952e-05,0.0004083181,0.07997283,approach
11,-0.024297627,-0.027272407,-0.8180234,-0.45758566,0.03230654,0.04436019,-2.839969,-0.17469798,-0.004655622,-0.009367462,2.820465,-0.32077727,0.77203065,0.044382844,0.03998776,0.039998107,0.00011103488,0.00017214728,0.07998587,approach
12,-0.028345741,-0.117359914,-0.82348305,-0.08672753,0.036927763,0.13699327,-2.8357105,0.1883015,-0.0073113134,-0.0786271,2.8115346,-0.24201421,0.7743949,0.06681913,0.039994035,0.03999931,0.0001448611,3.7083075e-05,0.079993345,approach
13,-0.028418804,0.0013211969,-0.8377042,-0.49540973,0.036764935,-0.019876303,-2.8353868,-0.009299163,-0.0075528435,-0.0042999964,2.7925394,-0.5248312,0.77367216,-0.019271905,0.039995305,0.04,9.3094604e-05,1.0680158e-06,0.079995304,approach
14,-0.0292205,0.008927496,-0.85359484,-0.45423707,0.04234685,0.19810706,-2.833446,0.078375556,-0.00812828,-0.023537895,2.7752864,-0.4739975,0.77811664,0.12278512,0.04,0.039989475,5.877513e-06,0.0001495695,0.07998948,approach
15,-0.0314839,-0.07161806,-0.8691723,-0.4342508,0.0490742,0.18300547,-2.8342397,-0.053013433,-0.009843259,-0.042765073,2.7606938,-0.40738967,0.78316724,0.1411176,0.039995603,0.03999939,5.7993344e-05,7.38487e-05,0.07999499,approach
16,-0.029982379,0.05778162,-0.8910627,-0.6743191,0.05217251,0.08613935,-2.844005,-0.32372865,-0.009897972,0.0016438799,2.7474592,-0.3722215,0.7848911,0.048685156,0.039999556,0.039998326,1.9632994e-06,5.0586452e-05,0.07999788,approach
17,-0.031981416,-0.08037209,-0.8986021,-0.089543805,0.05587978,0.09432782,-2.8467765,-0.044309266,-0.012600864,-0.07450301,2.746359,-0.030755915,0.78585476,0.028720787,0.039994348,0.04,9.253054e-05,1.0067621e-05,0.07999435,approach
