timestep,joint1_position,joint1_velocity,joint2_position,joint2_velocity,joint3_position,joint3_velocity,joint4_position,joint4_velocity,joint5_position,joint5_velocity,joint6_position,joint6_velocity,joint7_position,joint7_velocity,finger1_position,finger2_position,finger1_velocity,finger2_velocity,gripper_width,phase
0,0.0,0.0,-0.569,0.0,0.0,0.0,-2.81,0.0,0.0,0.0,3.037,0.0,0.741,0.0,0.04,0.04,0.0,0.0,0.08,approach
1,-0.0035650167,-0.06598244,-0.5957297,-1.004219,0.005212991,0.16149816,-2.8147697,-0.09127652,0.0008728616,0.01584395,3.0001702,-1.0140425,0.74645716,0.14954814,0.04,0.039994337,6.1150386e-05,-3.91534e-05,0.079994336,approach
2,-0.0021150718,0.03918953,-0.6270776,-0.88249785,0.006553986,0.029631905,-2.8175433,-0.06429297,0.0007200556,-0.008725431,2.9777842,-0.6181153,0.74633807,-0.003653411,0.039999053,0.039998304,-7.8012645e-06,7.519164e-05,0.07999736,approach
3,-0.004503566,-0.048916772,-0.65407795,-0.7417991,0.01263522,0.18543112,-2.819386,-0.057499997,0.00047347482,-0.006046729,2.9565468,-0.59021175,0.75205594,0.15744524,0.04,0.039995566,-1.3592576e-06,5.5036257e-05,0.079995565,approach
4,-0.00659809,-0.03524458,-0.67899054,-0.71212214,0.021478882,0.25867367,-2.8194873,0.018688938,0.002325647,0.050018404,2.9320648,-0.67637455,0.762431,0.2848687,0.04,0.039994024,1.5555994e-05,0.00014402119,0.07999402,approach
5,-0.004913443,0.025062803,-0.6965708,-0.44187567,0.02376687,0.034168586,-2.8188252,0.006470586,0.002487042,0.007674886,2.9183478,-0.381627,0.7636687,0.033915292,0.039991483,0.03999993,2.6020636e-05,-3.544604e-06,0.079991415,approach
6,0.0046822424,0.21616437,-0.720288,-0.7482378,0.009742765,-0.454715,-2.8244836,-0.1756697,0.0050632693,0.07515558,2.8983424,-0.5573421,0.7509613,-0.35047942,0.03998004,0.04,0.00025406398,3.5040404e-05,0.07998004,approach
7,0.0069414703,0.08191835,-0.73984164,-0.5052811,0.0036098033,-0.13120401,-2.8284223,-0.11101376,0.0071940213,0.055299632,2.8837795,-0.40528372,0.748819,-0.059913557,0.04,0.039990652,1.4472971e-05,6.299173e-05,0.079990655,approach
8,0.0058418964,-0.009765431,-0.75987655,-0.5891979,0.005846265,0.09452213,-2.8362172,-0.24824211,0.008218711,0.02601418,2.8711617,-0.35268378,0.7530753,0.117095076,0.04,0.03998841,1.0297403e-05,0.00015127928,0.079988405,approach
9,0.007451635,0.019527383,-0.76616186,-0.066768184,0.0035635007,-0.09627058,-2.8375576,-0.008738096,0.0075636194,-0.015172613,2.869462,-0.04779554,0.74950033,-0.0988034,0.03999167,0.039999988,7.371769e-05,-6.4900416e-07,0.07999165,approach
