timestep,joint1_position,joint1_velocity,joint2_position,joint2_velocity,joint3_position,joint3_velocity,joint4_position,joint4_velocity,joint5_position,joint5_velocity,joint6_position,joint6_velocity,joint7_position,joint7_velocity,finger1_position,finger2_position,finger1_velocity,finger2_velocity,gripper_width,phase
0,0.0,0.0,-0.569,0.0,0.0,0.0,-2.81,0.0,0.0,0.0,3.037,0.0,0.741,0.0,0.04,0.04,0.0,0.0,0.08,unknown
1,-0.0049698288,-0.11350478,-0.59097725,-0.82137614,0.0055435784,0.16900982,-2.8159816,-0.15382697,-0.0010454303,-0.03539279,3.010006,-0.7442178,0.7448498,0.10622636,0.04,0.039996613,1.3782935e-05,-3.728574e-05,0.079996616,unknown
2,-0.009509397,-0.12401549,-0.6187454,-0.79450923,0.0113069,0.15463245,-2.8205724,-0.11325399,-0.0018380928,-0.02208362,2.9856803,-0.6736439,0.7499092,0.13912918,0.039998427,0.04,2.7749822e-05,2.3083385e-05,0.079998426,unknown
3,-0.004328316,0.12015116,-0.647869,-0.8540006,0.0050833346,-0.2031918,-2.8249304,-0.107950054,-0.0011181848,0.019002287,2.9603162,-0.70290625,0.74351555,-0.17582488,0.039993275,0.04,3.079998e-05,1.2674887e-05,0.07999328,unknown
4,-0.00076920923,0.10790434,-0.6761789,-0.7963482,0.00060251536,-0.10950143,-2.8303254,-0.16551428,0.0005204811,0.0438482,2.9376585,-0.6309148,0.74099946,-0.06920581,0.04,0.039995622,4.575994e-06,3.268048e-05,0.07999562,unknown
5,0.0037455086,0.11705322,-0.7060004,-0.87229186,-0.004857434,-0.15722403,-2.8390942,-0.2606188,0.001969381,0.038467847,2.9167397,-0.58342737,0.7365529,-0.122553505,0.039998457,0.039999597,2.1828699e-05,3.7978312e-05,0.07999805,unknown
6,0.0020979706,-0.03609116,-0.7337196,-0.7805717,-0.0032441486,0.065828145,-2.8432238,-0.076546825,0.0018650187,-0.0066902377,2.8910367,-0.7104223,0.738731,0.0598397,0.04,0.039996874,4.396351e-06,9.621012e-06,0.07999687,unknown
7,0.005783481,0.053682327,-0.75600284,-0.60279584,-0.012919283,-0.33054227,-2.8448524,-0.034788918,0.0014335755,-0.008182636,2.8735073,-0.48622257,0.7281915,-0.29042655,0.039984647,0.04,0.00019164366,2.839329e-06,0.07998465,unknown
8,0.0009993799,-0.100810155,-0.7613029,-0.024684492,-0.0105709275,0.12777011,-2.8386652,0.19260228,-0.00031469125,-0.052497465,2.8655157,-0.22168276,0.73136985,0.088934675,0.04,0.039985966,1.0065651e-05,0.000106401974,0.07998596,unknown
9,-0.0006631193,-0.024925208,-0.77655786,-0.5325066,-0.006295847,0.13653259,-2.8488595,-0.39929414,-0.0016757175,-0.034953315,2.8605845,-0.14446026,0.7337773,0.06805673,0.04,0.039986864,3.9073275e-06,0.00020940286,0.07998686,unknown
10,-5.5496614e-05,0.01804061,-0.7727941,0.26967797,-0.0012978421,0.13885103,-2.8431928,0.2744131,-0.0010434424,0.0153448,2.8586328,-0.0492524,0.7382296,0.12210413,0.039998725,0.03999327,-6.0695584e-05,0.00021967392,0.079992,unknown
11,-0.00076699397,-0.015994277,-0.77996576,-0.32634938,0.003395309,0.13429703,-2.847168,-0.18646586,-0.0010786364,0.00018598094,2.8528361,-0.16305374,0.74216527,0.109457545,0.039998397,0.039997444,2.0203042e-05,6.3137115e-05,0.07999584,unknown
12,-0.001392941,-0.06889167,-0.78579426,-0.12540248,-0.00054765964,-0.17039223,-2.8466308,0.066865236,-0.0033456797,-0.057519563,2.841672,-0.30606478,0.7358149,-0.17406653,0.039980616,0.04,0.00023466317,2.3088627e-05,0.07998061,unknown
13,-0.004299688,-0.033668436,-0.78314686,0.14054595,0.0036462396,0.18150304,-2.844209,0.049002808,-0.002927105,0.007869667,2.8416197,-0.0037938373,0.74222845,0.17732386,0.04,0.039981596,1.431008e-05,0.0002093617,0.079981595,unknown
14,-0.0027123545,0.02722605,-0.78209794,0.018378899,0.0030616845,-0.047097143,-2.8496354,-0.20584774,-0.003107249,0.0016387587,2.8450816,0.091878854,0.74044985,-0.04891082,0.039992474,0.03999786,6.343585e-05,0.00013894547,0.079990335,unknown
15,-0.005323713,-0.08619935,-0.77214426,0.38172528,0.003574973,0.01572894,-2.856947,-0.23578298,-0.004573242,-0.035847254,2.8631465,0.49661934,0.740987,0.016419938,0.039993696,0.04,0.00014434443,-5.0013114e-09,0.079993695,unknown
16,-0.008191385,-0.08977703,-0.7625816,0.24715509,0.0025310444,-0.041192714,-2.8631651,-0.15161313,-0.005303899,-0.01911716,2.8718553,0.24412075,0.7404321,-0.014693682,0.039993938,0.039999876,0.00014684052,-7.2057614e-06,0.079993814,unknown
17,-0.010395229,-0.03374655,-0.7427426,0.67966163,0.0062281834,0.14198379,-2.8679237,-0.16360548,-0.0051359674,0.0048023644,2.8982627,0.72674865,0.74543434,0.13907497,0.04,0.039988223,2.3341693e-06,0.00014978767,0.07998823,unknown
18,-0.008828333,0.014233204,-0.7182657,0.72524875,0.0030369398,-0.13250712,-2.8727214,-0.13358256,-0.0055536786,-0.004464915,2.9224904,0.66956043,0.7413017,-0.11499512,0.03998886,0.04,9.6911695e-05,1.3562965e-05,0.07998886,unknown
19,-0.009004519,0.016700065,-0.7057589,0.2683121,0.0021218327,-0.0016136398,-2.882683,-0.30177796,-0.0054596826,-0.0011125903,2.9371538,0.40892303,0.7406727,-0.01744924,0.04,0.039993208,1.8826503e-06,4.584722e-05,0.0799932,unknown
20,-0.0073022996,0.0382764,-0.68655837,0.6477233,-3.3375043e-05,-0.07372977,-2.8904953,-0.22400205,-0.0045935563,0.029705599,2.9631293,0.717844,0.7398163,-0.025283126,0.039997295,0.039999172,1.1561606e-05,6.2932624e-05,0.07999647,unknown
