timestep,joint1_position,joint1_velocity,joint2_position,joint2_velocity,joint3_position,joint3_velocity,joint4_position,joint4_velocity,joint5_position,joint5_velocity,joint6_position,joint6_velocity,joint7_position,joint7_velocity,finger1_position,finger2_position,finger1_velocity,finger2_velocity,gripper_width,phase
0,0.0,0.0,-0.569,0.0,0.0,0.0,-2.81,0.0,0.0,0.0,3.037,0.0,0.741,0.0,0.04,0.04,0.0,0.0,0.08,unknown
1,-0.0063562864,-0.11732786,-0.58818066,-0.7236371,0.010917806,0.34513205,-2.8147755,-0.11728678,0.0010917922,0.021171903,3.015987,-0.5776454,0.7521008,0.30533463,0.04,0.039987553,5.8713544e-05,4.0997795e-05,0.079987556,unknown
2,-0.0006571887,0.07779422,-0.621204,-1.0141189,0.0034542785,-0.28340325,-2.8236308,-0.2546693,0.00067714916,-0.008219165,2.9890907,-0.7485901,0.7432666,-0.24266745,0.039975774,0.04,0.00014154297,3.4262386e-05,0.07997577,unknown
3,-0.002021978,-0.02332891,-0.65056807,-0.8069528,0.0004390566,-0.059790745,-2.825815,-0.010539692,-0.00018115398,-0.02935107,2.9635694,-0.70397234,0.74070734,-0.07009312,0.03999429,0.039993588,0.0002571027,-1.7066986e-06,0.079987876,unknown
4,2.25192e-05,0.054026205,-0.68208534,-0.9256709,-0.0041484716,-0.13076973,-2.8327436,-0.23536547,0.0015140909,0.04756748,2.941137,-0.6266989,0.73879564,-0.05250303,0.039997976,0.039996147,7.2369185e-05,7.059413e-05,0.07999413,unknown
5,-0.00016497674,-0.009816261,-0.7071638,-0.6703837,-0.0066655492,-0.0680162,-2.8329268,0.05148551,0.0013051372,-0.008692366,2.9155924,-0.7043204,0.7367717,-0.05583477,0.03999871,0.039998446,4.205937e-05,1.6278875e-05,0.07999715,unknown
6,0.00059172424,0.033366453,-0.7264991,-0.51286846,-0.007933055,-0.022580208,-2.8334584,-0.041688893,0.0015477244,0.007339982,2.8976467,-0.49971807,0.7360679,-0.019428534,0.04,0.03999425,1.5518485e-07,5.912047e-05,0.07999425,unknown
7,0.003131138,0.06353917,-0.73819655,-0.2816348,-0.010816178,-0.08972413,-2.831835,0.06042938,0.0014834505,-7.427078e-05,2.8814034,-0.4495119,0.7324402,-0.100214355,0.039997987,0.03999926,4.9620703e-06,6.982356e-05,0.07999725,unknown
8,0.0033502555,0.015624054,-0.752174,-0.43145403,-0.0107060615,0.01835845,-2.8333054,-0.054992907,0.0014706806,-0.0023084832,2.8653438,-0.44397178,0.7324441,0.00016445265,0.04,0.039996598,-1.0415316e-06,2.7138802e-05,0.0799966,unknown
9,0.0042148614,-9.564025e-05,-0.7550513,0.03447209,-0.0139129795,-0.11542382,-2.8373759,-0.1641907,0.000734323,-0.012796979,2.8722212,0.18379156,0.7289659,-0.09579776,0.03999262,0.039999932,0.000104995604,-4.56517e-06,0.07999255,unknown
10,0.0035772817,0.0016743864,-0.75403565,0.025772482,-0.01367628,0.03163719,-2.8399885,-0.05129094,0.0007090444,-0.0035911833,2.8717825,-0.010590014,0.7295371,0.015808927,0.04,0.039992772,1.4030252e-06,6.916929e-05,0.07999277,unknown
11,0.0029780478,-0.04090949,-0.74852717,0.203574,-0.015782995,-0.08314159,-2.8419437,-0.06746356,-0.0007380362,-0.035826128,2.880047,0.22680417,0.72633785,-0.08743174,0.039991997,0.04,0.000114588365,3.1308796e-06,0.079992,unknown
12,-0.0019777452,-0.16215849,-0.7469951,0.012633891,-0.01890018,-0.10107409,-2.8478794,-0.18917467,-0.004343819,-0.09601699,2.8819783,0.052953813,0.72168696,-0.12571481,0.039989706,0.04,0.00025400467,2.1797536e-05,0.0799897,unknown
13,-0.0048327455,-0.054388847,-0.7449034,0.079216085,-0.020092964,-0.008854377,-2.8541305,-0.17877412,-0.0051288423,-0.02300824,2.887277,0.14680596,0.72134095,-0.00894866,0.04,0.039990157,9.75594e-06,7.072143e-05,0.079990156,unknown
14,-0.009395397,-0.0899888,-0.738722,0.21097413,-0.010904697,0.31118897,-2.8608515,-0.20660165,-0.0037780416,0.033674695,2.9021351,0.41011998,0.733384,0.33373755,0.04,0.03998233,2.9776955e-05,0.00030057365,0.079982325,unknown
