timestep,joint1_position,joint1_velocity,joint2_position,joint2_velocity,joint3_position,joint3_velocity,joint4_position,joint4_velocity,joint5_position,joint5_velocity,joint6_position,joint6_velocity,joint7_position,joint7_velocity,finger1_position,finger2_position,finger1_velocity,finger2_velocity,gripper_width,phase
0,0.0,0.0,-0.569,0.0,0.0,0.0,-2.81,0.0,0.0,0.0,3.037,0.0,0.741,0.0,0.04,0.04,0.0,0.0,0.08,unknown
1,-0.0006120715,-0.04510268,-0.5854177,-0.61186093,-0.0034676527,-0.11864071,-2.815909,-0.16591391,-0.0016456434,-0.047539245,3.0197823,-0.47471952,0.73612636,-0.13361897,0.03999089,0.04,9.957097e-05,1.6916198e-05,0.07999089,unknown
2,-0.00237105,-0.040412482,-0.6215539,-1.1629372,-0.0065023173,-0.07469785,-2.8283799,-0.35878807,-0.0027970357,-0.03693993,2.989529,-0.84141886,0.73277617,-0.09185996,0.039998926,0.039996672,0.0001358092,-3.811205e-05,0.0799956,unknown
3,-0.0022156101,-0.015421191,-0.650094,-0.7334303,-0.011813627,-0.16199547,-2.8332696,-0.093178324,-0.0039889705,-0.03405072,2.9709969,-0.5129922,0.7272388,-0.15231214,0.039995648,0.039999936,7.656587e-05,-4.189107e-06,0.07999559,unknown
4,-0.0008674719,0.041476786,-0.6712026,-0.57378197,-0.017333714,-0.14751695,-2.8322692,0.057909653,-0.0037379311,0.0059141424,2.949273,-0.6001217,0.72290945,-0.11912047,0.04,0.039996464,2.554881e-07,1.1626276e-05,0.07999647,unknown
5,-0.002098104,-0.0061323526,-0.68978214,-0.5306164,-0.015524223,0.08154772,-2.8249013,0.2606665,-0.0030438434,0.013313661,2.9199677,-0.80402744,0.7257755,0.078434706,0.04,0.039989427,9.851876e-06,0.00010497553,0.079989426,unknown
6,-0.00012733067,0.048435263,-0.70763534,-0.48420444,-0.01647725,-0.036943786,-2.8282006,-0.19639802,-0.0027619235,0.012848697,2.9111657,-0.25205463,0.7247257,-0.028801447,0.039998405,0.039996147,2.127529e-05,9.3215895e-05,0.07999455,unknown
7,-0.0027520785,-0.07702277,-0.72450525,-0.49181482,-0.01436561,0.062779434,-2.8326125,-0.100906834,-0.0035934036,-0.024875509,2.898734,-0.34290534,0.7265424,0.05039531,0.03999743,0.039999805,5.944712e-05,4.342103e-06,0.079997234,unknown
8,-0.0043109935,-0.003521036,-0.7305245,-0.07035996,-0.0069514145,0.25031838,-2.8347068,-0.08326338,-0.0036686573,-0.0021515572,2.89753,-0.038244773,0.73359495,0.19519973,0.04,0.039986525,-2.2277905e-07,0.00017124298,0.07998653,unknown
9,-0.0015255928,0.08997459,-0.74198127,-0.40361232,-0.00075355254,0.16912775,-2.8386362,-0.09289345,-0.0007869161,0.07960892,2.8814225,-0.44304925,0.7403421,0.18477528,0.03999911,0.03999312,-5.4550885e-05,0.00023798631,0.07999223,unknown
