phase,start_time_ns,end_time_ns
home,1785501046941829959,1785501047995295323
gripper_opening,1785501047995329890,1785501051485910146
pick,1785501051485938691,1785501061053716810
gripper_closing,1785501061053739754,1785501062916732730
lift,1785501062916751026,1785501065785189274
place,1785501065785217900,1785501068050024049
gripper_opening,1785501068050050811,1785501069914853804
retract,1785501069914880476,1785501072634906560
return_home,1785501072634932841,1785501078331076260
