phase,start_time_ns,end_time_ns
home,1785501870226546985,1785501871279207729
gripper_opening,1785501871279265963,1785501874769028756
pick,1785501874769056175,1785501884341919146
gripper_closing,1785501884341943528,1785501886308221080
lift,1785501886308238798,1785501889178069041
place,1785501889178089124,1785501891441924494
gripper_opening,1785501891441949648,1785501893306288259
retract,1785501893306314446,1785501896026012186
return_home,1785501896026037010,1785501901726198839
