segment_id,joint,start_time_sec,end_time_sec,duration_sec,phase,label,slope,intercept,start_position,end_position,mean_position
0,joint3,0.0,2.8100674152374268,2.8100674152374268,gripper_opening,constant,0.0,0.0750491544604301,0.0750491544604301,0.0750491544604301,0.0750491544604301
1,joint3,3.0108444690704346,3.813824415206909,0.8029799461364746,gripper_opening,ramp_down,-0.04894269738870667,0.23076802057247034,0.0750491544604301,0.0332493260502815,0.06375651508569716
2,joint3,4.01453709602356,9.837061882019043,5.822524785995483,pick,ramp_down,-0.1329641837700473,0.5404346012296173,0.0066449530422687,-0.76754230260849,-0.3804486747831106
3,joint3,10.037870407104492,12.84874701499939,2.8108766078948975,pick,constant,0.0,-0.7853981852531433,-0.7853981852531433,-0.7853981852531433,-0.7853981852531433
4,joint3,13.049410820007324,14.8562490940094,1.8068382740020752,gripper_closing,constant,0.0,-0.7853981852531433,-0.7853981852531433,-0.7853981852531433,-0.7853981852531433
5,joint3,15.05696988105774,16.864092350006104,1.8071224689483643,lift,ramp_down,-0.25785982570896354,3.09193481770741,-0.7906528115272522,-1.2566370964050293,-1.0236449539661407
6,joint3,17.064728021621704,17.867724418640137,0.8029963970184326,lift,constant,-2.68914106617353e-16,-1.256637096405024,-1.2566370964050293,-1.2566370964050293,-1.2566370964050293
7,joint3,18.068423748016357,18.87139391899109,0.8029701709747314,place,ramp_up,0.07615904659539478,-2.6207507613130927,-1.244611382484436,-1.1835237741470337,-1.2140979766845703
8,joint3,19.072100162506104,19.874956369400024,0.8028562068939209,place,constant,0.00015902273990485796,-1.1724993032887938,-1.1695302724838257,-1.1693706512451172,-1.169402575492859
9,joint3,20.075626850128174,21.883177280426025,1.8075504302978516,gripper_opening,constant,0.0,-1.1693706512451172,-1.1693706512451172,-1.1693706512451172,-1.1693706512451172
10,joint3,22.083977937698364,23.89073896408081,1.8067610263824463,retract,constant,0.0,-1.1693706512451172,-1.1693706512451172,-1.1693706512451172,-1.1693706512451172
11,joint3,24.09147310256958,24.895187616348267,0.8037145137786865,retract,ramp_up,0.06925685536228693,-2.850847893682352,-1.1693706512451172,-1.1044766902923584,-1.1545244693756103
12,joint3,25.09580421447754,27.90674901008606,2.8109447956085205,return_home,ramp_up,0.27249515201794205,-7.888483029404219,-1.0499980449676514,-0.2840292155742645,-0.667013630270958
