segment_id,joint,signal,start_time_sec,end_time_sec,duration_sec,phase,label,slope,intercept,start_value,end_value,mean_value
0,joint5,velocity,0.0,0.8031058311462402,0.8031058311462402,home,constant,0.0,0.0,0.0,0.0,0.0
1,joint5,velocity,1.0039043426513672,3.814375162124634,2.8104708194732666,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
2,joint5,velocity,4.015284538269043,4.8184192180633545,0.8031346797943115,pick,ramp_down,-0.34776904120429847,1.2567175620800142,0.0,-0.3491486608982086,-0.2793189287185669
3,joint5,velocity,5.019010543823242,9.836833000183105,4.817822456359863,pick,constant,0.0,-0.3491486608982086,-0.3491486608982086,-0.3491486608982086,-0.3491486608982086
4,joint5,velocity,10.03757619857788,10.84022068977356,0.8026444911956787,pick,ramp_up,0.5057734766576296,-5.495714341717095,-0.3491486608982086,0.0,-0.21600049510598182
5,joint5,velocity,11.040977001190186,13.851365327835083,2.8103883266448975,pick,constant,0.0,0.0,0.0,0.0,0.0
6,joint5,velocity,14.051987886428833,14.854813575744629,0.8028256893157959,gripper_closing,constant,0.0,0.0,0.0,0.0,0.0
7,joint5,velocity,15.055540561676025,15.858457803726196,0.8029172420501709,gripper_closing,ramp_up,0.5221616738199019,-7.931303463115617,0.0,0.3493619561195373,0.1397447824478149
8,joint5,velocity,16.059091091156006,16.862093448638916,0.8030023574829102,lift,constant,-2.0564323281370507e-16,0.34936195611954074,0.3493619561195373,0.3493619561195373,0.3493619561195373
9,joint5,velocity,17.06281542778015,17.86577272415161,0.80295729637146,lift,ramp_down,-0.5221106134659493,9.258024321063909,0.3493619561195373,0.0,0.1397447824478149
10,joint5,velocity,18.066555738449097,18.86954641342163,0.8029906749725342,place,ramp_down,-0.49957571996774897,9.034451121240114,0.0,-0.3343103229999542,-0.19172610640525817
11,joint5,velocity,19.07037043571472,19.873295068740845,0.802924633026123,place,ramp_up,0.4996606330090004,-9.929875030872173,-0.3343103229999542,0.0,-0.20058619379997253
12,joint5,velocity,20.074034214019775,20.87684655189514,0.8028123378753662,place,constant,0.0,0.0,0.0,0.0,0.0
13,joint5,velocity,21.077537536621094,21.880489826202393,0.8029522895812988,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
14,joint5,velocity,22.081250190734863,22.88426184654236,0.8030116558074951,gripper_opening,ramp_up,0.40742487935277133,-9.050973529810426,0.0,0.2726355195045471,0.10905420780181885
15,joint5,velocity,23.084996938705444,23.887975454330444,0.802978515625,retract,constant,-1.2100294201547757e-16,0.27263551950455,0.2726355195045471,0.2726355195045471,0.2726355195045471
16,joint5,velocity,24.088685750961304,24.892225742340088,0.8035399913787842,retract,ramp_down,-0.27140245696492127,6.70131450790551,0.2726355195045471,0.0,0.054527103900909424
17,joint5,velocity,25.09297013282776,25.89626455307007,0.8032944202423096,return_home,ramp_up,0.433601307371073,-10.809660286850468,0.0,0.3491824865341186,0.2448142200708389
18,joint5,velocity,26.096982717514038,27.903809547424316,1.8068268299102783,return_home,constant,0.0,0.3491824865341186,0.3491824865341186,0.3491824865341186,0.3491824865341186
