segment_id,joint,signal,start_time_sec,end_time_sec,duration_sec,phase,label,slope,intercept,start_value,end_value,mean_value
0,joint3,effort,0.0,2.8106930255889893,2.8106930255889893,home,constant,0.0,-14.930364608764648,-14.930364608764648,-14.930364608764648,-14.930364608764648
1,joint3,effort,3.011448383331299,5.821768760681152,2.8103203773498535,gripper_opening,constant,0.0,-14.930364608764648,-14.930364608764648,-14.930364608764648,-14.930364608764648
2,joint3,effort,6.023050785064697,6.826139211654663,0.8030884265899658,pick,ramp_down,-1.3495527087418235,-7.204879006646106,-14.930364608764648,-16.261070251464844,-15.875238609313964
3,joint3,effort,7.026851415634155,11.844084978103638,4.817233562469482,pick,ramp_up,1.3847780409367176,-25.869299504946632,-16.138669967651367,-9.467870712280272,-12.80327033996582
4,joint3,effort,12.044848918914795,12.847810983657837,0.802962064743042,pick,ramp_down,-1.9543733075004388,15.593717518852868,-8.794670104980469,-11.015999794006348,-8.730976390838624
5,joint3,effort,13.04846477508545,15.858628511428833,2.810163736343384,pick,constant,0.0,-7.340874195098877,-7.340874195098877,-7.340874195098877,-7.340874195098877
6,joint3,effort,16.05931830406189,16.862205505371094,0.8028872013092041,gripper_closing,constant,1.4130224661201515e-15,-7.3408741950989,-7.340874195098877,-7.340874195098877,-7.340874195098877
7,joint3,effort,17.06303381919861,17.86586356163025,0.8028297424316406,gripper_closing,ramp_down,-4.429384705961769,69.12685836241528,-7.340874195098877,-11.785747528076172,-8.229848861694336
8,joint3,effort,18.066617488861084,19.873356819152832,1.806739330291748,lift,ramp_down,-6.077606613025522,99.88264548017528,-9.919148445129396,-20.899799346923828,-15.409473896026611
9,joint3,effort,20.074138641357422,20.87700128555298,0.8028626441955566,lift,ramp_up,4.766852503870559,-117.46560100152354,-20.88450050354004,-15.940862655639648,-19.86156768798828
10,joint3,effort,21.077982664108276,22.88437843322754,1.8063957691192627,place,ramp_up,7.765940947180209,-179.1110315350969,-15.420662879943848,-1.392300009727478,-8.406481444835663
11,joint3,effort,23.08501386642456,24.89111089706421,1.8060970306396484,gripper_opening,ramp_down,-5.105373766388746,116.41942419341615,-1.4381999969482422,-10.659000396728516,-6.048600196838379
12,joint3,effort,25.09225034713745,26.898377895355225,1.8061275482177734,retract,ramp_down,-2.058749792751531,40.23049309032752,-11.42817211151123,-15.146536827087402,-13.287354469299316
13,joint3,effort,27.09904980659485,28.906320810317993,1.8072710037231445,return_home,ramp_down,-0.6111745215589366,1.415711973159997,-15.146536827087402,-16.251094818115234,-15.698815822601318
14,joint3,effort,29.10698413848877,31.916902542114258,2.8099184036254883,return_home,ramp_up,0.2014646283463995,-21.83972144444294,-15.975693702697754,-15.409594535827637,-15.692644119262695
