joint,bag_time_ns,bag_time_sec,header_stamp_sec,position,velocity,effort,phase
joint2,1782909355800117221,1782909355.8001173,1782909355.799866,-0.93549644947052,0.0,-0.6772262454032898,home
joint2,1782909356000780750,1782909356.0007808,1782909356.0006075,-0.93549644947052,0.0,-0.6772262454032898,home
joint2,1782909356201583569,1782909356.2015836,1782909356.2013795,-0.93549644947052,0.0,-0.6772262454032898,home
joint2,1782909356402352365,1782909356.4023526,1782909356.4021685,-0.93549644947052,0.0,-0.6772262454032898,home
joint2,1782909356603185993,1782909356.603186,1782909356.6029377,-0.93549644947052,0.0,-0.6772262454032898,home
joint2,1782909356803844699,1782909356.8038447,1782909356.803656,-0.93549644947052,0.0,-0.6772262454032898,home
joint2,1782909357004577968,1782909357.004578,1782909357.0044208,-0.93549644947052,0.0,-0.6772262454032898,home
joint2,1782909357205384832,1782909357.2053847,1782909357.2051988,-0.93549644947052,0.0,-0.6772262454032898,home
joint2,1782909357406191436,1782909357.4061916,1782909357.4059656,-0.93549644947052,0.0,-0.6772262454032898,home
joint2,1782909357606954198,1782909357.6069543,1782909357.606708,-0.93549644947052,0.0,-0.6772262454032898,home
joint2,1782909357807578236,1782909357.8075783,1782909357.8074236,-0.93549644947052,0.0,-0.6772262454032898,home
joint2,1782909358008274421,1782909358.0082746,1782909358.0081367,-0.93549644947052,0.0,-0.6772262454032898,home
joint2,1782909358209121049,1782909358.2091212,1782909358.2089005,-0.93549644947052,0.0,-0.6772262454032898,home
joint2,1782909358409722071,1782909358.4097223,1782909358.4095776,-0.93549644947052,0.0,-0.6772262454032898,home
joint2,1782909358610439975,1782909358.61044,1782909358.6102824,-0.93549644947052,0.0,-0.6772262454032898,gripper_opening
joint2,1782909358811160574,1782909358.8111608,1782909358.8109772,-0.93549644947052,0.0,-0.6772262454032898,gripper_opening
joint2,1782909359011792494,1782909359.0117924,1782909359.0116518,-0.93549644947052,0.0,-0.6772262454032898,gripper_opening
joint2,1782909359212497751,1782909359.2124977,1782909359.21235,-0.93549644947052,0.0,-0.6772262454032898,gripper_opening
joint2,1782909359413302156,1782909359.4133024,1782909359.4130802,-0.93549644947052,0.0,-0.6772262454032898,gripper_opening
joint2,1782909359614104517,1782909359.6141047,1782909359.61387,-0.93549644947052,0.0,-0.6772262454032898,gripper_opening
joint2,1782909359814812599,1782909359.814813,1782909359.814607,-0.93549644947052,0.0,-0.6772262454032898,gripper_opening
joint2,1782909360015522986,1782909360.0155232,1782909360.0153372,-0.93549644947052,0.0,-0.6772262454032898,gripper_opening
joint2,1782909360216308282,1782909360.2163084,1782909360.2161078,-0.93549644947052,0.0,-0.6772262454032898,gripper_opening
