phase,start_time_ns,end_time_ns
home,1785500771345817179,1785500772398070480
gripper_opening,1785500772398096561,1785500775887322716
pick,1785500775887350810,1785500785456277810
gripper_closing,1785500785456321153,1785500787220963095
lift,1785500787220981430,1785500790090599992
place,1785500790090618347,1785500792353731395
gripper_opening,1785500792353747947,1785500794218643023
retract,1785500794218661548,1785500796939342665
return_home,1785500796939368545,1785500802640173338
