window_id,joint,start_time_sec,end_time_sec,center_time_sec,phase,mean_effort,range_effort,centered_effort_energy,energy_label
0,joint5,0.0,3.8147411346435547,1.9073813080787658,gripper_opening,-1.5899393558502195,0.0,0.0,low_energy
1,joint5,1.003826379776001,4.8184638023376465,2.9112371802330017,gripper_opening,-1.5899393558502195,0.0,0.0,low_energy
2,joint5,2.0077500343322754,5.822126150131226,3.9150686621665955,gripper_opening,-1.5885224521160124,0.3221282958984375,0.05572016386299408,low_energy
3,joint5,3.0119972229003906,6.825782537460327,4.918863129615784,gripper_opening,-1.655778557062149,0.6781649589538574,0.42027208596851706,low_energy
4,joint5,4.015461683273315,7.829499006271362,5.92252779006958,pick,-1.8010236263275146,1.0681097507476807,1.4469033461409033,low_energy
5,joint5,5.019251346588135,8.833178520202637,6.926209032535553,pick,-1.991197144985199,1.2206969261169434,2.182701494080365,medium_energy
6,joint5,6.022904396057129,9.836907386779785,7.929884266853333,pick,-2.1488793075084685,0.9155226945877075,1.1094701065713164,low_energy
7,joint5,7.026618003845215,10.840698480606079,8.933583009243012,pick,-2.223477452993393,0.6612108945846558,0.5341255133378381,low_energy
8,joint5,8.030283212661743,11.844787359237671,9.937352526187897,pick,-2.2549725472927094,2.223589420318604,4.006888968893774,medium_energy
9,joint5,9.033888101577759,12.84846568107605,10.94118790626526,pick,-2.123149025440216,2.223589420318604,4.3735755886745835,medium_energy
10,joint5,10.037744522094727,13.85272479057312,11.945079350471497,pick,-2.0252337634563444,2.223589420318604,4.531929914827497,high_energy
11,joint5,11.041480779647827,14.856439590454102,12.949020421504974,pick,-1.9417295098304752,2.223589420318604,4.463809657801025,high_energy
12,joint5,12.045592546463013,15.86039137840271,13.95294098854065,pick,-1.8233393430709843,0.0,9.860761315262648e-31,low_energy
13,joint5,13.049171209335327,16.86403727531433,14.956815433502197,pick,-1.9032322764396667,0.8518298864364624,1.1562663740204606,low_energy
14,joint5,14.053409814834595,17.86785864830017,15.960654103755951,gripper_closing,-2.102286750078201,1.0213710069656372,2.9753448685164425,medium_energy
15,joint5,15.0571129322052,18.87157654762268,16.96444836854935,lift,-2.120241016149521,1.1835873126983643,3.490730792347815,medium_energy
16,joint5,16.061048984527588,19.875125408172607,17.96816498041153,lift,-2.0378357231616975,1.5620555877685547,4.989419730947972,high_energy
17,joint5,17.064788103103638,20.878697633743286,18.971848845481873,lift,-2.049614018201828,2.8216021060943604,8.869641337556132,high_energy
18,joint5,18.06861138343811,21.882439374923706,19.97550114393234,place,-1.850559514760971,2.8216021060943604,6.6311731587590055,high_energy
19,joint5,19.072229862213135,22.88628125190735,20.97915815114975,place,-1.8326052188873292,2.8216021060943604,5.92210990875579,high_energy
20,joint5,20.075878381729126,23.889968156814575,21.982857978343965,gripper_opening,-2.0134885966777802,2.4825196266174316,5.890948816692613,high_energy
21,joint5,21.079426050186157,24.893540859222412,22.986569786071776,gripper_opening,-2.1072443604469298,0.9349851608276367,2.6420082003251624,medium_energy
22,joint5,22.083205223083496,25.897258281707764,23.990288984775543,retract,-2.079696464538574,1.127642035484314,3.1363914449547234,medium_energy
23,joint5,23.087023496627808,26.90110445022583,24.993990933895113,retract,-2.223092573881149,1.127642035484314,3.6824852748886285,medium_energy
24,joint5,24.090698719024658,27.904892444610596,25.997708559036255,retract,-2.4337318003177644,1.686828970909119,5.831141513040239,high_energy
25,joint5,25.094290494918823,28.908770084381104,27.00147557258606,return_home,-2.601502865552902,1.754645466804504,8.279216495893646,high_energy
26,joint5,26.097974061965942,29.91240930557251,28.00525082349777,return_home,-2.949188309907913,1.754645466804504,3.1045962265710125,medium_energy
27,joint5,27.101794719696045,30.91606330871582,29.00902565717697,return_home,-2.9219073832035063,2.7241169214248653,6.576675787888954,high_energy
