phase,start_time_ns,end_time_ns
home,1785502145490799319,1785502146543700483
gripper_opening,1785502146543733075,1785502150034215659
pick,1785502150034239174,1785502159549199204
gripper_closing,1785502159549218643,1785502161514203075
lift,1785502161514225089,1785502164384078944
place,1785502164384104229,1785502166648253757
gripper_opening,1785502166648301464,1785502168411946992
retract,1785502168411972754,1785502171131214760
return_home,1785502171131231892,1785502176777218734
