segment_id,joint,start_time_sec,end_time_sec,duration_sec,phase,label,slope,intercept,start_velocity,end_velocity,mean_velocity
0,joint5,0.0,2.8106930255889893,2.8106930255889893,home,constant,0.0,0.0,0.0,0.0,0.0
1,joint5,3.011448383331299,5.821768760681152,2.8103203773498535,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
2,joint5,6.023050785064697,6.826139211654663,0.8030884265899658,pick,ramp_down,-0.4879793346600807,2.9120349420103366,0.0,-0.3491486608982086,-0.22304550558328629
3,joint5,7.026851415634155,11.844084978103638,4.817233562469482,pick,constant,0.0,-0.3491486608982086,-0.3491486608982086,-0.3491486608982086,-0.3491486608982086
4,joint5,12.044848918914795,12.847810983657837,0.802962064743042,pick,ramp_up,0.34789312634568853,-4.609297126418958,-0.3491486608982086,0.0,-0.2793189287185669
5,joint5,13.04846477508545,15.858628511428833,2.810163736343384,pick,constant,0.0,0.0,0.0,0.0,0.0
6,joint5,16.05931830406189,16.862205505371094,0.8028872013092041,gripper_closing,constant,0.0,0.0,0.0,0.0,0.0
7,joint5,17.06303381919861,17.86586356163025,0.8028297424316406,gripper_closing,ramp_up,0.34814456776527225,-6.0102762497451,0.0,0.3493619561195373,0.06987239122390745
8,joint5,18.066617488861084,18.869518756866455,0.8029012680053711,lift,constant,-2.5667814821401754e-17,0.34936195611953763,0.3493619561195373,0.3493619561195373,0.3493619561195373
9,joint5,19.070276260375977,20.87700128555298,1.806725025177002,lift,ramp_down,-0.37840416753651446,7.565633969118463,0.3493619561195373,-0.3343103229999542,0.007525816559791537
10,joint5,21.077982664108276,21.88074803352356,0.8027653694152832,place,ramp_up,0.3331701238467744,-7.4237281645326,-0.3343103229999542,0.0,-0.2674482583999634
11,joint5,22.081480264663696,22.88437843322754,0.8028981685638428,place,constant,0.0,0.0,0.0,0.0,0.0
12,joint5,23.08501386642456,23.88780951499939,0.8027956485748291,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
13,joint5,24.08846950531006,24.89111089706421,0.8026413917541504,gripper_opening,ramp_up,0.2717475107388465,-6.600514378435879,0.0,0.2726355195045471,0.054527103900909424
14,joint5,25.09225034713745,25.895004749298096,0.8027544021606445,retract,constant,7.564440623745642e-17,0.272635519504545,0.2726355195045471,0.2726355195045471,0.2726355195045471
15,joint5,26.095709562301636,26.898377895355225,0.8026683330535889,retract,ramp_down,-0.40755913807777083,10.9081633340839,0.2726355195045471,0.0,0.10905420780181885
16,joint5,27.09904980659485,27.90220808982849,0.8031582832336426,return_home,ramp_up,0.5217161315128372,-14.172544449182107,0.0,0.3491824865341186,0.17497772276401516
17,joint5,28.102826356887817,31.916902542114258,3.8140761852264404,return_home,constant,0.0,0.3491824865341186,0.3491824865341186,0.3491824865341186,0.3491824865341186
