window_id,start_time_sec,end_time_sec,center_time_sec,mean_efforts,range_efforts,energy,energy_label
0,0.0,3.813987296,1.9070310927500003,-14.930364608764648,0.0,0.0,low_energy
1,1.003727478,4.817715365000001,2.9107068596,-14.930364608764648,0.0,0.0,low_energy
2,2.007461015,5.821102575,3.9143227853999996,-14.930364608764648,0.0,0.0,low_energy
3,3.0110433530000003,6.82507494,4.917962523349999,-15.200870418548584,1.5842418670654297,6.0033797644753575,low_energy
4,4.014695378,7.828916213,5.921681776450001,-15.351365900039672,1.5842418670654297,5.852086234505396,low_energy
5,5.018362069,8.833201433000001,6.9255337929000005,-15.288426399230957,2.4939002990722656,8.08322594335914,low_energy
6,6.021922013,9.83703762,7.929472519150001,-14.895771884918213,3.5954999923706055,23.824451100173786,medium_energy
7,7.025767385000001,10.84075559,8.933406765750002,-13.873061609268188,4.528800010681152,40.98741183418218,medium_energy
8,8.030018291000001,11.844674107,9.937345620300002,-12.516716575622558,5.768100738525391,63.32560875683409,high_energy
9,9.033935121,12.848717897,10.941192844800002,-11.108821249008178,5.875199317932129,64.63595253440559,high_energy
10,10.037716902,13.853140972,11.945185077500001,-9.656736803054809,5.046398162841797,59.54077403131939,high_energy
11,11.041526904,14.856878166,12.9492408587,-8.564202308654785,3.403390884399414,30.4846087044898,medium_energy
12,12.045390815,15.860801389,13.95326525645,-7.925312900543213,3.403390884399414,13.45059397788809,medium_energy
13,13.049798321,16.865135516000002,14.957388371350001,-7.551408767700195,0.0,0.0,low_energy
14,14.053993792000002,17.868939538,15.961380776399997,-7.684653902053833,1.4625015258789062,3.229593949060063,low_energy
15,15.057555662,18.872853444,16.9653395132,-8.872654247283936,6.282001495361328,88.90689402463995,high_energy
16,16.06164678,19.876811981,17.969348797450003,-10.845839786529542,9.829391479492188,223.14235832879987,high_energy
17,17.065918627000002,20.880648335,18.9732664479,-12.585746383666992,9.829391479492188,176.83533687702112,high_energy
18,18.069742082,21.884483102,19.9771392308,-13.562871742248536,7.005189895629883,61.80989262286967,high_energy
19,19.073641047,22.888743903,20.981062950200002,-13.185897731781006,6.5852861404418945,81.99940693207448,high_energy
20,20.077636332,23.893055317,21.9851000027,-12.023738527297974,4.181431770324707,53.14796562738825,high_energy
21,21.08137105,24.896800115,22.989139074050005,-11.359081315994263,3.1800050735473633,19.19260308669159,medium_energy
22,22.085288933,25.900704693,23.993185667300004,-11.862077569961547,4.19911003112793,44.112088907825225,medium_energy
23,23.089584246,26.904555136000003,24.9972126005,-12.949833250045776,4.351022720336914,68.69841547002991,high_energy
24,24.093790398000003,27.908501378,26.001092648450005,-14.142968654632568,5.122941017150879,51.66509663070883,medium_energy
25,25.097584026,28.912179739000003,27.0049483094,-15.174015855789184,3.300408363342285,14.089117160456723,medium_energy
26,26.101490726,29.916024403,28.0087858794,-15.718200731277467,1.292119026184082,3.860853430259296,low_energy
27,27.105245766000003,30.919635772000003,29.012574717350002,-15.916535234451294,1.2011976242065447,1.7928462674231498,low_energy
28,28.109209327,31.923232862000003,30.0162877446,-15.698132801055909,3.9232559204101562,13.50323241015776,medium_energy
