window_id,start_time_sec,end_time_sec,center_time_sec,mean_position,range_position,energy,energy_label
0,0.0,0.018880495,0.00940244565,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
1,0.004915232,0.023881991,0.01439973155,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
2,0.00990681,0.028896211,0.019398718700000005,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
3,0.014906432,0.033875085,0.02439298335,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
4,0.019879344,0.038885617,0.0293924219,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
5,0.024904735,0.04388003,0.0343909387,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
6,0.029886904,0.048892887,0.0393982987,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
7,0.034879594,0.053934078,0.04439995035,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
8,0.039902811,0.058883696,0.0494001358,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
9,0.044907482,0.063883228,0.05439989790000001,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
10,0.049897857,0.068907567,0.0593936201,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
11,0.054910715,0.073922819,0.06439608035000001,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
12,0.059883827,0.078954733,0.06940055789999999,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
13,0.064908196,0.083885555,0.07440025245000001,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
14,0.069903741,0.088910435,0.07940319665000001,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
15,0.074893465,0.09387982,0.08439736175,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
16,0.079887126,0.098876056,0.08939085449999999,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
17,0.084926573,0.103884936,0.09439390980000001,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
18,0.089882483,0.108941446,0.09939183695,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
19,0.094874782,0.113894761,0.10439804875,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
20,0.099917786,0.118896377,0.10940185955,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
21,0.104890678,0.12388581,0.11439933390000001,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
22,0.109912582,0.128899439,0.11939702360000001,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
23,0.114876768,0.133900424,0.12439546125000003,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
24,0.119909523,0.138888104,0.129393435,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
25,0.12488021,0.143876866,0.13439344765,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
26,0.129909729,0.148911765,0.13940364704999997,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
27,0.134904202,0.153888293,0.1444012596,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
28,0.139920526,0.158885501,0.1494054702,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
29,0.144880393,0.163892688,0.15440772750000004,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
30,0.149895625,0.168892741,0.1594012137,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
31,0.154883285,0.173899317,0.16440070234999998,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
32,0.159922261,0.178887527,0.16939532165,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
33,0.164912015,0.183895856,0.174394959,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
34,0.169893733,0.188881632,0.17939088035,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
35,0.174902593,0.193890282,0.18439105979999998,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
36,0.179900452,0.19889822,0.18939167655,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
37,0.184895486,0.203884407,0.19438874965,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
38,0.189883036,0.208897124,0.19939033925,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
39,0.194890132,0.213910983,0.2043924107,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
40,0.199890446,0.218880298,0.2093944542,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
41,0.204903293,0.223885231,0.21439638789999999,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
42,0.209888188,0.228928465,0.219402183,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
43,0.214910443,0.233890617,0.2244050164,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
44,0.219886601,0.238893776,0.22940560905000001,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
45,0.224906021,0.243886636,0.23440632499999997,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
46,0.229918297,0.248889855,0.23940493094999998,-0.9354964790690226,0.0,2.465190328815662e-31,low_energy
