segment_id,joint,start_time_sec,end_time_sec,duration_sec,label,slope,start_pos,end_pos
0,joint2,0.0,6.615905233,6.615905233,constant,3.7338570225300265e-10,-0.9354964790690224,-0.935496476598738
1,joint2,6.616888512,9.617880909,3.000992397,ramp_up,0.503483885162012,-0.9354964765927614,0.5754548347904578
2,joint2,9.61888122,13.122893211,3.5040119909999987,constant,3.630632066942417e-09,0.5759586531653929,0.5759586658871712
3,joint2,13.123884074,16.125896895,3.002012821000001,ramp_down,-0.04649540200654803,0.5759586509354895,0.4363788579942831
4,joint2,16.126891856,17.12589139,0.9989995339999993,constant,1.0309210027902649e-08,0.4363323117362858,0.4363323220351818
5,joint2,17.126895468,20.13089765,3.0040021820000007,ramp_up,0.11620026342047281,0.4363323199617221,0.7853981648257973
6,joint2,20.131882332,23.631900376,3.500018044000001,constant,-4.6284515190900884e-10,0.7853981650321691,0.7853981634122027
7,joint2,23.632922288000003,26.638923514,3.006001225999995,ramp_down,-0.16837833554901804,0.7853981634093827,0.2792526803171959
8,joint2,26.639898517,27.638894332000003,0.9989958150000042,constant,7.90123142510483e-12,0.2792526803101509,0.2792526803180442
9,joint2,27.639899603000003,30.639981708,3.000082104999997,ramp_down,-0.40477033644513777,0.2788477639307816,-0.9354964790731044
10,joint2,30.641003359000003,31.630881693000003,0.9898783340000001,constant,-5.438518312299361e-13,-0.9354964790728832,-0.9354964790734216
