phase,start_time_ns,end_time_ns
home,1785501241254377258,1785501242307791294
gripper_opening,1785501242307827865,1785501245798677497
pick,1785501245798704149,1785501255367423380
gripper_closing,1785501255367450192,1785501257333942169
lift,1785501257333985473,1785501260207154556
place,1785501260207194984,1785501262472266791
gripper_opening,1785501262472284987,1785501264235674322
retract,1785501264235692968,1785501266956314879
return_home,1785501266956378743,1785501272657339594
