phase,start_time_ns,end_time_ns
home,1785501800904245910,1785501802016970715
gripper_opening,1785501802017000945,1785501805504202596
pick,1785501805504229179,1785501815066199015
gripper_closing,1785501815066219667,1785501817031555683
lift,1785501817031572998,1785501819901690431
place,1785501819901715492,1785501822164982556
gripper_opening,1785501822165008459,1785501824030331448
retract,1785501824030350678,1785501826747992868
return_home,1785501826748019032,1785501832443507835
