segment_id,joint,start_time_sec,end_time_sec,duration_sec,phase,label,slope,intercept,start_velocity,end_velocity,mean_velocity
0,joint1,0.0,0.8031058311462402,0.8031058311462402,home,constant,0.0,0.0,0.0,0.0,0.0
1,joint1,1.0039043426513672,3.814375162124634,2.8104708194732666,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
2,joint1,4.015284538269043,13.851365327835083,9.83608078956604,pick,constant,0.0,0.0,0.0,0.0,0.0
3,joint1,14.051987886428833,14.854813575744629,0.8028256893157959,gripper_closing,constant,0.0,0.0,0.0,0.0,0.0
4,joint1,15.055540561676025,15.858457803726196,0.8029172420501709,gripper_closing,ramp_down,-0.32821596143716997,4.985391540809077,0.0,-0.2195989787578582,-0.08783959150314327
5,joint1,16.059091091156006,16.862093448638916,0.8030023574829102,lift,constant,6.374649267955188e-17,-0.21959897875785925,-0.2195989787578582,-0.2195989787578582,-0.2195989787578582
6,joint1,17.06281542778015,17.86577272415161,0.80295729637146,lift,ramp_up,0.3281838663524401,-5.819330498382655,-0.2195989787578582,0.0,-0.08783959150314327
7,joint1,18.066555738449097,18.86954641342163,0.8029906749725342,place,ramp_up,0.022707973480657374,-0.41065661982985485,0.0,0.0151959145441651,0.00871481765061614
8,joint1,19.07037043571472,19.873295068740845,0.802924633026123,place,ramp_down,-0.022711833161936937,0.45135768183680347,0.0151959145441651,0.0,0.00911754872649906
9,joint1,20.074034214019775,20.87684655189514,0.8028123378753662,place,constant,0.0,0.0,0.0,0.0,0.0
10,joint1,21.077537536621094,22.88426184654236,1.8067243099212646,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
11,joint1,23.084996938705444,24.892225742340088,1.8072288036346436,retract,constant,0.0,0.0,0.0,0.0,0.0
12,joint1,25.09297013282776,25.89626455307007,0.8032944202423096,return_home,ramp_up,0.09962393744531682,-2.483620096235777,0.0,0.0802279263734817,0.05624834522604938
13,joint1,26.096982717514038,27.903809547424316,1.8068268299102783,return_home,constant,0.0,0.0802279263734817,0.0802279263734817,0.0802279263734817,0.0802279263734817
